"V1"
"1" "hora,dia1"
"2" "14.1,0"
"3" "14.2,12"
"4" "14.3,0"
"5" "14.4,0"
"6" "14.5,0"
"7" "15,0"
"8" "15.1,0"
"9" "15.2,0"
"10" "15.3,0"
"11" "15.4,0"
"12" "15.5,0"
"13" "16,0"
"14" "16.1,0"
"15" "16.2,0"
"16" "16.3,0"
"17" "16.4,0"
"18" "16.5,0"
"19" "17,204"
"20" "17.1,74"
"21" "17.2,209"
"22" "17.3,247"
"23" "17.4,237"
"24" "17.5,63"
"25" "18,0"
"26" "18.1,103"
"27" "18.2,100"
"28" "18.3,0"
"29" "18.4,0"
"30" "18.5,0"
"31" "19,0"
"32" "19.1,0"
"33" "19.2,0"
"34" "19.3,0"
"35" "19.4,0"
"36" "19.5,0"
"37" "20,0"
"38" "20.1,0"
"39" "20.2,59"
"40" "20.3,97"
"41" "20.4,208"
"42" "20.5,49"
"43" "21,254"
"44" "21.1,106"
"45" "21.2,30"
"46" "21.3,29"
"47" "21.4,212"
"48" "21.5,264"
"49" "22,279"
"50" "22.1,0"
"51" "22.2,0"
"52" "22.3,0"
"53" "22.4,0"
"54" "22.5,0"
"55" "23,0"
"56" "23.1,21"
"57" "23.2,0"
"58" "23.3,272"
"59" "23.4,24"
"60" "23.5,0"
"61" "0,447"
"62" "0.1,117"
"63" "0.2,1"
"64" "0.3,9"
"65" "0.4,107"
"66" "0.5,3"
"67" "1,54"
"68" "1.1,1"
"69" "1.2,12"
"70" "1.3,54"
"71" "1.4,330"
"72" "1.5,152"
"73" "2,221"
"74" "2.1,211"
"75" "2.2,23"
"76" "2.3,0"
"77" "2.4,0"
"78" "2.5,0"
"79" "3,0"
"80" "3.1,0"
"81" "3.2,0"
"82" "3.3,0"
"83" "3.4,0"
"84" "3.5,0"
"85" "4,0"
"86" "4.1,0"
"87" "4.2,0"
"88" "4.3,0"
"89" "4.4,0"
"90" "4.5,0"
"91" "5,22"
"92" "5.1,15"
"93" "5.2,361"
"94" "5.3,197"
"95" "5.4,0"
"96" "5.5,1"
"97" "6,0"
"98" "6.1,0"
"99" "6.2,0"
"100" "6.3,0"
"101" "6.4,0"
"102" "6.5,0"
"103" "7,0"
"104" "7.1,0"
"105" "7.2,0"
"106" "7.3,0"
"107" "7.4,0"
"108" "7.5,0"
"109" "8,0"
"110" "8.1,0"
"111" "8.2,0"
"112" "8.3,0"
"113" "8.4,0"
"114" "8.5,0"
"115" "9,0"
"116" "9.1,0"
"117" "9.2,0"
"118" "9.3,0"
"119" "9.4,0"
"120" "9.5,0"
"121" "10,0"
"122" "10.1,0"
"123" "10.2,0"
"124" "10.3,0"
"125" "10.4,0"
"126" "10.5,0"
"127" "11,0"
"128" "11.1,0"
"129" "11.2,0"
"130" "11.3,0"
"131" "11.4,0"
"132" "11.5,0"
"133" "12,0"
"134" "12.1,0"
"135" "12.2,0"
"136" "12.3,0"
"137" "12.4,0"
"138" "12.5,0"
"139" "13,0"
"140" "13.1,0"
"141" "13.2,0"
"142" "13.3,0"
"143" "13.4,0"
"144" "13.5,0"
"145" "14,0"
"146" "14.1,0"
"147" "14.2,0"
"148" "14.3,0"
"149" "14.4,0"
"150" "14.5,49"
"151" "15,145"
"152" "15.1,283"
"153" "15.2,159"
"154" "15.3,301"
"155" "15.4,100"
"156" "15.5,316"
"157" "16,275"
"158" "16.1,19"
"159" "16.2,232"
"160" "16.3,233"
"161" "16.4,342"
"162" "16.5,170"
"163" "17,5"
"164" "17.1,0"
"165" "17.2,0"
"166" "17.3,0"
"167" "17.4,0"
"168" "17.5,0"
"169" "18,43"
"170" "18.1,315"
"171" "18.2,10"
"172" "18.3,135"
"173" "18.4,101"
"174" "18.5,3"
"175" "19,0"
"176" "19.1,0"
"177" "19.2,0"
"178" "19.3,0"
"179" "19.4,0"
"180" "19.5,0"
"181" "20,0"
"182" "20.1,0"
"183" "20.2,0"
"184" "20.3,0"
"185" "20.4,16"
"186" "20.5,234"
"187" "21,215"
"188" "21.1,74"
"189" "21.2,78"
"190" "21.3,109"
"191" "21.4,168"
"192" "21.5,18"
"193" "22,0"
"194" "22.1,0"
"195" "22.2,0"
"196" "22.3,0"
"197" "22.4,0"
"198" "22.5,0"
"199" "23,2"
"200" "23.1,8"
"201" "23.2,79"
"202" "23.3,36"
"203" "23.4,0"
"204" "23.5,0"
"205" "0,201"
"206" "0.1,103"
"207" "0.2,50"
"208" "0.3,241"
"209" "0.4,1"
"210" "0.5,0"
"211" "1,270"
"212" "1.1,164"
"213" "1.2,93"
"214" "1.3,20"
"215" "1.4,0"
"216" "1.5,362"
"217" "2,13"
"218" "2.1,26"
"219" "2.2,23"
"220" "2.3,54"
"221" "2.4,65"
"222" "2.5,50"
"223" "3,8"
"224" "3.1,0"
"225" "3.2,0"
"226" "3.3,4"
"227" "3.4,0"
"228" "3.5,0"
"229" "4,18"
"230" "4.1,44"
"231" "4.2,0"
"232" "4.3,0"
"233" "4.4,0"
"234" "4.5,0"
"235" "5,43"
"236" "5.1,7"
"237" "5.2,6"
"238" "5.3,4"
"239" "5.4,243"
"240" "5.5,0"
"241" "6,0"
"242" "6.1,0"
"243" "6.2,0"
"244" "6.3,0"
"245" "6.4,33"
"246" "6.5,0"
"247" "7,0"
"248" "7.1,0"
"249" "7.2,0"
"250" "7.3,0"
"251" "7.4,159"
"252" "7.5,76"
"253" "8,121"
"254" "8.1,0"
"255" "8.2,0"
"256" "8.3,0"
"257" "8.4,0"
"258" "8.5,0"
"259" "9,0"
"260" "9.1,0"
"261" "9.2,0"
"262" "9.3,0"
"263" "9.4,0"
"264" "9.5,0"
"265" "10,0"
"266" "10.1,0"
"267" "10.2,0"
"268" "10.3,0"
"269" "10.4,0"
"270" "10.5,0"
"271" "11,0"
"272" "11.1,0"
"273" "11.2,0"
"274" "11.3,0"
"275" "11.4,0"
"276" "11.5,0"
"277" "12,0"
"278" "12.1,0"
"279" "12.2,0"
"280" "12.3,0"
"281" "12.4,0"
"282" "12.5,0"
"283" "13,0"
"284" "13.1,0"
"285" "13.2,0"
"286" "13.3,0"
"287" "13.4,0"
"288" "13.5,0"
"289" "14,0"
"290" "14.1,0"
"291" "14.2,0"
"292" "14.3,0"
"293" "14.4,122"
"294" "14.5,126"
"295" "15,416"
"296" "15.1,14"
"297" "15.2,52"
"298" "15.3,323"
"299" "15.4,273"
"300" "15.5,139"
"301" "16,263"
"302" "16.1,235"
"303" "16.2,154"
"304" "16.3,189"
"305" "16.4,262"
"306" "16.5,331"
"307" "17,66"
"308" "17.1,0"
"309" "17.2,0"
"310" "17.3,0"
"311" "17.4,0"
"312" "17.5,0"
"313" "18,0"
"314" "18.1,0"
"315" "18.2,0"
"316" "18.3,0"
"317" "18.4,0"
"318" "18.5,0"
"319" "19,0"
"320" "19.1,43"
"321" "19.2,249"
"322" "19.3,6"
"323" "19.4,268"
"324" "19.5,180"
"325" "20,1"
"326" "20.1,424"
