Time,Centre position X,Centre position Y
0.000,,
0.210,221,231
0.330,217,219
0.440,211,209
0.550,203,194
0.660,194,182
0.770,185,172
0.890,169,158
1.000,159,149
1.120,149,137
1.230,147,123
1.350,148,107
1.460,148,94
1.570,149,86
1.690,151,74
1.810,153,69
1.930,154,64
2.040,163,59
2.160,176,56
2.270,189,54
2.390,208,55
2.500,223,57
2.610,237,59
2.720,255,62
2.830,272,63
2.950,290,68
3.060,303,73
3.180,312,80
3.290,318,94
3.410,320,111
3.530,318,123
3.650,311,135
3.770,300,143
3.880,288,151
4.000,270,158
4.120,251,166
4.230,239,169
4.350,226,170
4.460,210,166
4.570,195,161
4.700,179,154
4.820,167,147
4.940,161,143
5.050,158,142
5.200,159,139
5.310,150,125
5.430,146,109
5.540,146,95
5.660,147,79
5.790,146,68
5.910,145,66
6.020,146,65
6.140,147,64
6.270,147,64
6.390,147,63
6.500,148,61
6.610,146,60
6.720,145,58
6.840,145,58
6.960,145,58
7.080,145,58
7.190,145,57
7.310,145,57
7.420,145,56
7.530,145,57
7.650,145,57
7.770,145,56
7.880,146,56
7.990,146,56
8.120,146,56
8.230,146,56
8.330,147,60
8.440,147,63
8.550,148,61
8.670,151,61
8.790,160,63
8.900,168,64
9.020,175,65
9.140,184,64
9.260,204,65
9.370,218,64
9.490,236,64
9.610,251,62
9.720,270,57
9.840,286,54
9.960,308,53
10.080,324,54
10.190,347,57
10.310,365,62
10.430,379,68
10.560,395,78
10.670,404,84
10.790,410,102
10.910,414,112
11.030,419,129
11.140,422,141
11.260,420,162
11.370,416,180
11.490,414,187
11.600,412,199
11.720,410,218
11.840,410,237
11.960,413,252
12.070,414,260
12.190,416,264
12.310,419,268
12.430,419,268
12.540,418,266
12.650,418,266
12.770,419,269
12.890,419,275
13.000,418,278
13.120,418,283
13.230,418,289
13.350,417,293
13.470,416,300
13.590,415,306
13.700,413,313
13.820,413,318
13.940,413,320
14.050,411,324
14.170,406,324
14.290,400,325
14.410,390,327
14.530,375,329
14.650,358,329
14.760,345,329
14.880,332,326
14.990,316,322
15.110,301,318
15.220,287,316
15.330,274,314
15.450,255,314
15.570,241,315
15.680,223,317
15.800,212,318
15.920,194,320
16.030,185,322
16.150,177,324
16.260,171,324
16.370,167,325
16.490,165,326
16.600,166,325
16.720,165,325
16.840,162,324
16.960,162,325
17.080,159,326
17.200,157,327
17.310,155,328
17.420,154,328
17.540,154,328
17.660,154,328
17.770,154,328
17.880,154,328
17.990,154,328
18.100,154,328
18.220,154,328
18.330,154,328
18.440,154,328
18.560,154,328
18.680,154,328
18.800,156,328
18.910,157,325
19.020,157,323
19.130,155,319
19.250,152,310
19.370,149,303
19.480,149,302
19.600,150,303
19.720,153,304
19.840,158,291
19.950,162,281
20.070,166,271
20.190,168,262
20.310,167,254
20.420,165,244
20.530,164,232
20.640,163,222
20.760,160,210
20.870,155,200
20.990,150,182
21.100,146,165
21.220,146,148
21.330,147,130
21.440,151,104
21.560,154,92
21.680,158,80
21.790,163,68
21.910,166,62
22.030,166,61
22.150,164,65
22.270,164,66
22.380,164,67
22.490,169,69
22.610,180,72
22.730,183,73
22.840,184,75
22.960,186,78
23.060,186,77
23.180,181,76
23.300,179,77
23.410,175,79
23.520,168,85
23.640,161,92
23.760,152,102
23.870,147,109
23.990,148,109
24.110,149,108
24.230,149,106
24.350,150,104
24.470,149,102
24.580,148,100
24.710,147,99
24.810,147,99
24.930,147,99
25.040,150,99
25.170,151,100
25.280,149,105
25.400,148,113
25.520,146,128
25.640,146,138
25.760,147,144
25.870,148,148
25.990,150,152
26.110,151,152
26.220,149,152
26.350,147,154
26.470,145,162
26.580,145,179
26.710,145,200
26.820,145,214
26.930,145,228
27.050,146,243
27.160,147,255
27.270,149,268
27.380,150,285
27.490,151,299
27.600,151,312
27.730,151,319
27.850,149,318
27.960,148,318
28.080,147,319
28.200,147,320
28.310,147,324
28.420,147,326
28.530,148,328
28.650,148,328
28.770,148,328
28.890,148,326
29.000,148,319
29.120,149,318
29.240,152,320
29.350,157,322
29.470,159,326
29.590,164,328
29.710,167,330
29.820,168,329
29.940,170,326
30.050,174,325
30.170,174,325
30.290,174,325
30.400,173,325
30.520,173,327
30.630,177,328
30.750,191,329
30.870,202,330
30.990,224,331
31.100,247,331
31.220,262,331
31.330,277,331
31.450,299,331
31.570,319,331
31.680,334,331
31.810,354,331
31.930,370,330
32.050,388,329
32.170,399,329
32.280,409,329
32.390,411,331
32.510,412,332
32.620,412,332
32.740,412,332
32.860,412,332
32.970,411,330
33.090,411,328
33.200,415,327
33.310,414,328
33.430,413,327
33.540,415,321
33.660,417,318
33.780,416,317
33.890,414,315
34.020,415,315
34.140,415,316
34.250,415,317
34.370,415,316
34.480,415,314
34.600,415,313
34.720,415,313
34.830,415,313
34.950,416,311
35.060,417,302
35.190,419,285
35.300,420,272
35.420,421,259
35.530,421,245
35.640,422,223
35.760,423,207
35.870,424,186
35.990,424,168
36.110,422,147
36.230,421,130
36.350,420,109
36.460,420,90
36.580,418,78
36.710,420,68
36.820,421,66
36.930,423,66
37.040,420,66
37.160,416,63
37.280,415,60
37.390,410,59
37.510,403,57
37.630,398,56
37.740,386,56
37.860,379,55
37.980,379,55
38.090,379,55
