Time,Centre position X,Centre position Y
0.000,,
0.210,159,241
0.320,157,255
0.430,154,268
0.550,149,290
0.670,145,305
0.790,145,311
0.900,145,311
1.020,145,315
1.140,145,314
1.270,145,312
1.380,145,310
1.490,145,310
1.600,145,311
1.720,145,313
1.830,145,314
1.940,146,314
2.050,146,316
2.160,145,317
2.280,144,318
2.390,144,318
2.510,144,318
2.630,143,318
2.750,143,317
2.860,146,314
2.990,148,309
3.100,147,306
3.220,147,305
3.340,146,305
3.450,145,305
3.570,149,306
3.690,154,305
3.810,154,306
3.920,151,312
4.040,147,320
4.150,145,323
4.260,148,322
4.370,154,325
4.480,158,328
4.590,162,329
4.710,170,331
4.830,174,331
4.950,174,332
5.070,176,332
5.190,175,331
5.320,171,328
5.430,168,324
5.540,168,312
5.660,165,299
5.780,159,284
5.890,149,262
6.000,144,238
6.120,144,230
6.240,144,228
6.360,145,219
6.480,147,195
6.590,145,177
6.700,146,142
6.820,146,124
6.920,146,104
7.050,145,85
7.160,145,78
7.270,146,72
7.380,146,66
7.490,148,64
7.610,148,65
7.720,148,66
7.830,147,64
7.930,147,59
8.040,146,58
8.160,146,58
8.270,146,57
8.390,146,57
8.510,146,55
8.630,146,54
8.750,146,54
8.860,145,54
8.980,145,53
9.100,145,54
9.220,145,53
9.330,145,53
9.460,145,53
9.570,145,53
9.680,145,53
9.800,145,53
9.910,145,53
10.030,145,53
10.130,145,53
10.250,146,54
10.370,145,54
10.490,146,54
10.610,147,57
10.730,148,57
10.840,150,58
10.960,155,56
11.070,163,54
11.190,169,54
11.290,167,53
11.410,164,55
11.520,162,57
11.630,161,57
11.740,161,57
11.850,159,57
11.950,159,57
12.050,159,57
12.160,159,56
12.280,161,59
12.400,164,65
12.520,167,70
12.640,171,74
12.750,172,72
12.860,174,70
12.970,185,67
13.090,203,62
13.200,221,55
13.310,222,54
13.430,222,55
13.550,223,55
13.660,227,55
13.780,238,57
13.890,246,57
14.000,269,59
14.120,289,59
14.230,309,57
14.340,335,54
14.460,358,53
14.580,372,53
14.690,386,53
14.800,401,53
14.920,413,54
15.040,418,55
15.150,420,54
15.260,424,55
15.380,425,55
15.490,426,55
15.600,426,54
15.710,426,54
15.830,426,55
15.940,426,54
16.050,425,54
16.160,425,54
16.270,425,54
16.380,421,56
16.490,421,56
16.600,420,58
16.710,421,58
16.820,420,56
16.940,420,56
17.050,422,57
17.170,422,57
17.280,424,58
17.400,425,62
17.510,426,68
17.630,427,70
17.750,427,68
17.870,427,67
17.990,426,66
18.110,426,64
18.230,425,64
18.350,425,63
18.470,425,63
18.580,425,64
18.700,425,63
18.800,425,63
18.910,425,63
19.030,425,63
19.140,425,63
19.260,425,63
19.380,425,62
19.490,425,63
19.610,425,63
19.720,425,63
19.840,426,63
19.960,426,63
20.070,426,63
20.190,426,62
20.300,426,62
20.420,426,63
20.530,426,63
20.650,426,63
20.760,426,62
20.880,426,62
21.000,425,62
21.110,423,60
21.220,424,60
21.330,424,60
21.450,424,60
21.560,423,60
21.680,420,63
21.790,417,66
21.910,416,67
22.030,418,70
22.140,419,82
22.250,421,95
22.360,423,115
22.470,426,142
22.590,427,162
22.690,428,181
22.810,428,203
22.930,428,227
23.040,427,247
23.150,427,268
23.280,425,293
23.390,425,308
23.500,425,323
23.620,424,326
23.730,423,328
23.850,424,329
23.980,424,331
24.100,425,332
24.200,425,333
24.330,425,333
24.450,425,333
24.570,425,333
24.680,425,333
24.800,425,332
24.910,425,332
25.030,425,332
25.140,425,331
25.260,423,329
25.360,421,328
25.480,421,326
25.590,422,326
25.710,420,329
25.830,417,332
25.940,416,333
26.050,416,333
26.170,418,334
26.290,419,334
26.400,419,333
26.510,419,334
26.620,420,334
26.740,416,333
26.860,409,332
26.960,407,332
27.080,411,333
27.190,412,332
27.310,412,329
27.410,411,326
27.520,410,323
27.650,410,321
27.750,410,321
27.870,410,322
27.990,407,324
28.100,395,323
28.210,379,321
28.330,363,323
28.440,340,327
28.560,323,331
28.670,304,332
28.780,280,333
28.890,261,333
29.000,239,332
29.110,223,332
29.220,209,333
29.340,193,333
29.450,185,333
29.560,173,329
29.670,159,325
29.790,156,323
29.900,153,323
30.020,154,324
30.130,154,325
30.250,152,326
30.360,150,326
30.470,146,325
30.580,146,327
30.690,145,327
30.810,145,327
30.930,146,327
31.050,147,327
31.160,147,327
31.270,146,329
31.390,146,330
31.510,146,330
31.630,146,331
31.740,146,330
31.850,147,329
31.960,150,328
32.080,151,326
32.190,149,323
32.300,147,320
32.410,145,321
32.530,145,322
32.640,146,321
32.760,146,321
32.870,146,321
32.990,146,321
33.120,148,320
33.230,150,318
33.350,149,317
33.460,149,318
33.580,151,318
33.690,153,319
33.820,159,320
33.930,161,319
34.050,160,318
34.170,160,318
34.280,159,318
34.390,158,316
34.510,161,303
34.630,161,281
34.750,158,265
34.870,152,238
34.990,149,220
35.100,148,199
35.210,146,169
35.330,144,146
35.450,144,118
35.560,144,101
35.690,144,82
35.790,145,74
35.900,145,75
36.020,146,75
36.140,147,71
36.260,146,71
36.370,147,72
36.490,147,72
36.600,147,72
36.720,147,72
36.830,148,73
36.950,148,73
37.070,148,73
37.180,148,73
37.290,148,73
37.410,148,73
37.520,147,73
37.640,147,74
37.750,149,75
37.880,149,75
37.990,148,74
38.110,148,73
38.220,148,72
38.330,148,72
38.440,148,72
38.560,147,71
38.690,146,66
38.800,146,61
38.920,146,60
39.040,146,60
39.140,146,60
39.260,146,60
39.370,146,55
39.490,148,53
39.600,149,51
39.720,149,52
39.850,148,52
39.960,147,52
40.080,147,52
40.200,147,51
40.320,147,51
40.430,147,51
40.550,147,51
40.670,147,51
40.780,148,51
40.900,148,50
41.020,148,51
41.130,148,51
41.240,148,50
41.370,148,51
41.490,148,50
41.600,148,50
41.730,148,50
41.840,147,51
