Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Distance,Mean speed,Time mobile,Time immobile,Immobility latency,Periferia : time,Medio : time,Centro : time,Centro : Number line crossings,Sexo,CUMS,Tratamiento
1,1-1,pre-cums,A,Campo abierto,1,Campo abierto,71.446,0.119,538.7,61.3,13.4,499.8,76,2.4,5,Macho,pre,CUMS_fluox
2,2-1,pre-cums,A,Campo abierto,1,Campo abierto,73.677,0.123,536.9,63.1,16.8,484.9,83.7,11.4,8,Macho,pre,CUMS_fluox
3,3-1,pre-cums,A,Campo abierto,1,Campo abierto,60.2,0.1,528.5,71.5,28.9,457,108.4,8.9,6,Macho,pre,CUMS_fluox
4,4-1,pre-cums,A,Campo abierto,1,Campo abierto,66.451,0.111,540.1,59.9,153.8,499.5,72.2,6.3,2,Macho,pre,CUMS_fluox
5,1-2,pre-cums,A,Campo abierto,1,Campo abierto,66.761,0.111,499.5,100.5,29.2,532.1,45.3,6.3,8,Macho,pre,CUMS_ctrl
6,2-2,pre-cums,A,Campo abierto,1,Campo abierto,65.528,0.109,513.5,86.5,95.6,472.1,94.2,6.7,12,Macho,pre,CUMS_ctrl
7,3-2,pre-cums,A,Campo abierto,1,Campo abierto,75.316,0.126,520.4,79.6,38.5,558.8,27.2,3.6,3,Macho,pre,CUMS_ctrl
8,1-A,pre-cums,A,Campo abierto,1,Campo abierto,48.419,0.081,373.6,226.4,47.1,573.1,20.3,1,2,Hembra,pre,CUMS_ctrl
9,2-A,pre-cums,A,Campo abierto,1,Campo abierto,60.578,0.101,464.2,135.8,61.9,528.1,47.9,10.2,6,Hembra,pre,CUMS_ctrl
10,3-A,pre-cums,A,Campo abierto,1,Campo abierto,57.26,0.095,476.2,123.8,41.9,530.3,31,12.4,5,Hembra,pre,CUMS_ctrl
11,4-A,pre-cums,A,Campo abierto,1,Campo abierto,58.332,0.097,485.6,114.4,87.6,532.9,49.2,2.5,3,Hembra,pre,CUMS_ctrl
12,1-B,pre-cums,A,Campo abierto,1,Campo abierto,46.536,0.078,445.6,154.4,72.3,552.4,29,8.3,5,Hembra,pre,CUMS_fluox
13,2-B,pre-cums,A,Campo abierto,1,Campo abierto,57.422,0.096,480.4,119.6,61.4,527.1,51.4,10.2,8,Hembra,pre,CUMS_fluox
14,3-B,pre-cums,A,Campo abierto,1,Campo abierto,53.379,0.089,443.4,156.6,44.8,561,31.1,2.2,4,Hembra,pre,CUMS_fluox
15,4-B,pre-cums,A,Campo abierto,1,Campo abierto,57.566,0.096,500.7,99.2,58.2,549.2,36.8,2.4,3,Hembra,pre,CUMS_fluox
16,11,postcums,B,Campo abierto,1,Campo abierto,46.381,0.077,428.3,171.7,23.6,558.1,30,5.1,2,Macho,post,CUMS_fluox
17,21,postcums,B,Campo abierto,1,Campo abierto,58.51,0.098,483,117,79.7,530.1,46.5,7.1,8,Macho,post,CUMS_fluox
18,31,postcums,B,Campo abierto,1,Campo abierto,23.149,0.039,267.9,332.1,2.6,585.2,12.5,0,0,Macho,post,CUMS_fluox
19,41,postcums,B,Campo abierto,1,Campo abierto,40.705,0.068,358.7,241.3,52.9,539.9,14,6.3,2,Macho,post,CUMS_fluox
20,12,postcums,B,Campo abierto,1,Campo abierto,58.128,0.097,458.4,141.6,2.1,519.5,53.1,14.9,7,Macho,post,CUMS_ctrl
21,22,postcums,B,Campo abierto,1,Campo abierto,61.473,0.102,506.9,93.1,44.5,478.8,89.9,9.6,14,Macho,post,CUMS_ctrl
22,32,postcums,B,Campo abierto,1,Campo abierto,57.836,0.096,440.8,159.2,16.5,561.5,20.5,3.5,4,Macho,post,CUMS_ctrl
23,1A,postcums,B,Campo abierto,1,Campo abierto,50.817,0.085,421.9,178.1,1.1,574.6,15,5.5,0,Hembra,post,CUMS_ctrl
24,2A,postcums,B,Campo abierto,1,Campo abierto,52.129,0.087,443.8,156.2,16.7,549.5,28.4,3.5,6,Hembra,post,CUMS_ctrl
25,3A,postcums,B,Campo abierto,1,Campo abierto,27.88,0.046,306.2,293.8,16.8,483.1,23,8,2,Hembra,post,CUMS_ctrl
26,4A,postcums,B,Campo abierto,1,Campo abierto,43.311,0.072,423.3,176.7,42.1,538.9,28.6,7.8,2,Hembra,post,CUMS_ctrl
27,1B,postcums,B,Campo abierto,1,Campo abierto,33.243,0.055,344.5,255.5,17,556.2,31.1,7.4,4,Hembra,post,CUMS_fluox
28,2B,postcums,B,Campo abierto,1,Campo abierto,33.572,0.056,378.8,221.2,29.6,564.2,27.7,2,2,Hembra,post,CUMS_fluox
29,3B,postcums,B,Campo abierto,1,Campo abierto,34.715,0.058,329.1,270.9,16.8,582.1,12,1.3,3,Hembra,post,CUMS_fluox
30,4B,postcums,B,Campo abierto,1,Campo abierto,33.811,0.056,298.2,301.8,7.9,522.7,14.1,0.5,0,Hembra,post,CUMS_fluox
