Registro empezado el 2023/1/21 a las 18:10,
Hora,Canal1
18:20,393
18:30,29
18:40,0
18:50,0
19:00,0
19:10,0
19:20,0
19:30,0
19:40,0
19:50,0
20:00,0
20:10,0
20:20,0
20:30,0
20:40,0
20:50,0
21:00,86
21:10,32
21:20,565
21:30,246
21:40,339
21:50,91
22:00,2
22:10,224
22:20,176
22:30,343
22:40,40
22:50,563
23:00,435
23:10,123
23:20,180
23:30,3
23:40,0
23:50,0
00:00,0
00:10,0
00:20,0
00:30,0
00:40,0
00:50,0
01:00,0
01:10,130
01:20,111
01:30,127
01:40,111
01:50,428
02:00,110
02:10,194
02:20,117
02:30,273
02:40,146
02:50,0
03:00,40
03:10,33
03:20,0
03:30,0
03:40,39
03:50,164
04:00,2
04:10,280
04:20,199
04:30,208
04:40,165
04:50,15
05:00,1
05:10,19
05:20,0
05:30,0
05:40,0
05:50,0
06:00,0
06:10,0
06:20,0
06:30,0
06:40,0
06:50,0
07:00,0
07:10,0
07:20,0
07:30,0
07:40,0
07:50,0
08:00,0
08:10,0
08:20,0
08:30,0
08:40,0
08:50,0
09:00,0
09:10,38
09:20,5
09:30,0
09:40,0
09:50,0
10:00,0
10:10,0
10:20,0
10:30,0
10:40,0
10:50,0
11:00,0
11:10,0
11:20,0
11:30,0
11:40,0
11:50,0
12:00,0
12:10,0
12:20,0
12:30,0
12:40,0
12:50,0
13:00,0
13:10,0
13:20,0
13:30,0
13:40,0
13:50,0
14:00,0
14:10,0
14:20,0
14:30,0
14:40,0
14:50,0
15:00,0
15:10,0
15:20,0
15:30,0
15:40,0
15:50,0
16:00,0
16:10,0
16:20,0
16:30,0
16:40,0
16:50,0
17:00,0
17:10,0
17:20,0
17:30,0
17:40,0
17:50,0
18:00,0
18:10,0
18:20,0
18:30,0
18:40,0
18:50,0
19:00,0
19:10,0
19:20,0
19:30,0
19:40,0
19:50,0
20:00,4
20:10,252
20:20,297
20:30,388
20:40,316
20:50,319
21:00,85
21:10,335
21:20,140
21:30,362
21:40,399
21:50,227
22:00,368
22:10,334
22:20,372
22:30,279
22:40,58
22:50,17
23:00,1
23:10,0
23:20,0
23:30,0
23:40,0
23:50,0
00:00,0
00:10,89
00:20,79
00:30,2
00:40,1
00:50,0
01:00,305
01:10,99
01:20,2
01:30,209
01:40,10
01:50,107
02:00,11
02:10,196
02:20,248
02:30,0
02:40,0
02:50,0
03:00,274
03:10,462
03:20,56
03:30,192
03:40,277
03:50,44
04:00,470
04:10,302
04:20,256
04:30,240
04:40,134
04:50,126
05:00,87
05:10,284
05:20,22
05:30,0
05:40,0
05:50,0
06:00,0
06:10,0
06:20,0
06:30,0
06:40,0
06:50,0
07:00,0
07:10,0
07:20,0
07:30,0
07:40,0
07:50,0
08:00,0
08:10,0
08:20,0
08:30,0
08:40,0
08:50,0
09:00,0
09:10,0
09:20,0
09:30,0
09:40,2
09:50,1
10:00,0
10:10,0
10:20,0
10:30,0
10:40,0
10:50,0
11:00,0
11:10,0
11:20,0
11:30,0
11:40,0
11:50,0
12:00,0
12:10,0
12:20,0
12:30,0
12:40,0
12:50,0
13:00,0
13:10,0
13:20,0
13:30,0
13:40,0
13:50,0
14:00,0
14:10,0
14:20,0
14:30,0
14:40,0
14:50,0
15:00,0
15:10,0
15:20,0
15:30,0
15:40,0
15:50,0
16:00,0
16:10,0
16:20,0
16:30,0
16:40,0
16:50,0
17:00,0
17:10,0
17:20,0
17:30,1
17:40,0
17:50,0
18:00,0
18:10,0
18:20,0
18:30,0
18:40,0
18:50,0
19:00,0
19:10,0
19:20,0
19:30,0
19:40,0
19:50,0
20:00,0
20:10,0
20:20,0
20:30,0
20:40,0
20:50,0
21:00,7
21:10,256
21:20,381
21:30,335
21:40,179
21:50,71
22:00,33
22:10,0
22:20,0
22:30,0
22:40,0
22:50,0
23:00,0
23:10,0
23:20,0
23:30,0
23:40,0
23:50,0
00:00,0
00:10,0
00:20,0
00:30,0
00:40,0
00:50,0
01:00,0
01:10,0
01:20,0
