Registro empezado el 2023/1/21 a las 18:10,
Hora,Canal1
18:20,9
18:30,0
18:40,0
18:50,0
19:00,0
19:10,0
19:20,0
19:30,0
19:40,0
19:50,0
20:00,0
20:10,0
20:20,0
20:30,2
20:40,0
20:50,196
21:00,520
21:10,524
21:20,469
21:30,560
21:40,417
21:50,523
22:00,460
22:10,459
22:20,532
22:30,593
22:40,546
22:50,438
23:00,338
23:10,455
23:20,535
23:30,605
23:40,557
23:50,598
00:00,502
00:10,458
00:20,475
00:30,423
00:40,403
00:50,430
01:00,365
01:10,391
01:20,494
01:30,565
01:40,636
01:50,550
02:00,588
02:10,645
02:20,544
02:30,600
02:40,504
02:50,485
03:00,413
03:10,557
03:20,451
03:30,588
03:40,392
03:50,561
04:00,497
04:10,646
04:20,613
04:30,488
04:40,517
04:50,476
05:00,442
05:10,464
05:20,151
05:30,389
05:40,503
05:50,520
06:00,440
06:10,230
06:20,535
06:30,535
06:40,346
06:50,298
07:00,400
07:10,384
07:20,500
07:30,444
07:40,492
07:50,552
08:00,457
08:10,477
08:20,93
08:30,10
08:40,0
08:50,9
09:00,0
09:10,9
09:20,4
09:30,5
09:40,1
09:50,2
10:00,0
10:10,0
10:20,0
10:30,0
10:40,0
10:50,0
11:00,0
11:10,0
11:20,0
11:30,0
11:40,0
11:50,0
12:00,0
12:10,0
12:20,0
12:30,0
12:40,0
12:50,0
13:00,0
13:10,0
13:20,0
13:30,0
13:40,0
13:50,0
14:00,0
14:10,0
14:20,0
14:30,0
14:40,0
14:50,0
15:00,0
15:10,0
15:20,0
15:30,0
15:40,0
15:50,0
16:00,0
16:10,0
16:20,0
16:30,0
16:40,0
16:50,0
17:00,0
17:10,0
17:20,0
17:30,0
17:40,0
17:50,0
18:00,0
18:10,0
18:20,0
18:30,0
18:40,0
18:50,0
19:00,0
19:10,0
19:20,0
19:30,0
19:40,0
19:50,0
20:00,0
20:10,0
20:20,0
20:30,0
20:40,2
20:50,95
21:00,434
21:10,464
21:20,312
21:30,398
21:40,424
21:50,429
22:00,323
22:10,478
22:20,422
22:30,493
22:40,319
22:50,402
23:00,453
23:10,405
23:20,443
23:30,576
23:40,607
23:50,532
00:00,594
00:10,601
00:20,550
00:30,401
00:40,600
00:50,530
01:00,0
01:10,64
01:20,160
01:30,517
01:40,513
01:50,498
02:00,423
02:10,462
02:20,546
02:30,548
02:40,386
02:50,403
03:00,429
03:10,421
03:20,405
03:30,529
03:40,540
03:50,546
04:00,527
04:10,547
04:20,506
04:30,580
04:40,449
04:50,548
05:00,542
05:10,505
05:20,475
05:30,592
05:40,585
05:50,422
06:00,588
06:10,423
06:20,432
06:30,492
06:40,93
06:50,13
07:00,124
07:10,0
07:20,0
07:30,95
07:40,197
07:50,458
08:00,268
08:10,310
08:20,68
08:30,5
08:40,1
08:50,0
09:00,0
09:10,0
09:20,0
09:30,0
09:40,0
09:50,0
10:00,0
10:10,0
10:20,0
10:30,0
10:40,0
10:50,0
11:00,0
11:10,0
11:20,0
