Caja,fecha,vueltas_por_dia
A,2023/01/03,3153
A,2023/01/04,6611
A,2023/01/05,8605
A,2023/01/06,11145
A,2023/01/07,7895
A,2023/01/08,5980
A,2023/01/09,6352
A,2023/01/10,2062
A,2023/01/21,3870
A,2023/01/22,7508
A,2023/01/23,5850
A,2023/01/24,9655
A,2023/01/25,6896
A,2023/01/26,1762
A,2023/01/27,2563
A,2023/01/28,4314
A,2023/01/29,8950
A,2023/01/30,12167
B,2023/01/21,9336
B,2023/01/22,31960
B,2023/01/23,25763
B,2023/01/24,25469
B,2023/01/25,31872
B,2023/01/26,29405
B,2023/01/27,15694
B,2023/01/28,13514
B,2023/01/29,9608
B,2023/01/30,10375
