,hora,X,0,1,2,3,4,5,6,7
1,14.1,0,0,0,0,0,0,0,0,0
2,14.2,12,12,NA,NA,NA,NA,NA,NA,NA
3,14.3,0,0,0,0,0,0,0,0,0
4,14.4,0,0,0,NA,0,0,0,0,0
5,14.5,0,0,NA,NA,0,0,0,0,NA
6,15,0,0,NA,NA,0,0,0,0,NA
7,15.1,0,0,NA,NA,0,NA,0,0,NA
8,15.2,0,0,NA,NA,0,NA,0,0,NA
9,15.3,0,0,NA,NA,NA,NA,0,0,NA
10,15.4,0,0,NA,NA,NA,NA,0,0,NA
11,15.5,0,0,NA,NA,NA,0,NA,0,NA
12,16,0,0,NA,NA,NA,0,NA,0,NA
13,16.1,0,0,NA,NA,NA,NA,NA,NA,NA
14,16.2,0,0,NA,NA,NA,NA,NA,0,NA
15,16.3,0,0,NA,NA,NA,NA,NA,NA,NA
16,16.4,0,0,NA,NA,NA,NA,NA,NA,NA
17,16.5,0,0,NA,NA,NA,NA,NA,NA,NA
18,17,204,204,NA,NA,NA,NA,NA,NA,NA
19,17.1,74,74,NA,NA,NA,NA,NA,NA,NA
20,17.2,209,209,NA,NA,NA,NA,NA,NA,NA
21,17.3,247,247,NA,NA,NA,NA,NA,NA,NA
22,17.4,237,237,NA,NA,NA,NA,NA,NA,NA
23,17.5,63,63,NA,NA,NA,NA,NA,NA,NA
24,18,0,0,NA,0,NA,NA,NA,NA,NA
25,18.1,103,103,NA,NA,NA,NA,NA,NA,NA
26,18.2,100,100,NA,NA,NA,NA,NA,NA,NA
27,18.3,0,0,NA,0,NA,0,NA,NA,NA
28,18.4,0,0,NA,0,NA,NA,0,NA,NA
29,18.5,0,0,NA,0,NA,NA,NA,NA,NA
30,19,0,0,0,0,NA,NA,NA,NA,NA
31,19.1,0,0,0,NA,NA,NA,NA,NA,NA
32,19.2,0,0,0,NA,NA,NA,NA,NA,NA
33,19.3,0,0,0,NA,NA,0,NA,NA,NA
