hora,dia1
14.1,0
14.2,12
14.3,0
14.4,0
14.5,0
15,0
15.1,0
15.2,0
15.3,0
15.4,0
15.5,0
16,0
16.1,0
16.2,0
16.3,0
16.4,0
16.5,0
17,204
17.1,74
17.2,209
17.3,247
17.4,237
17.5,63
18,0
18.1,103
18.2,100
18.3,0
18.4,0
18.5,0
19,0
19.1,0
19.2,0
19.3,0
19.4,0
19.5,0
20,0
20.1,0
20.2,59
20.3,97
20.4,208
20.5,49
21,254
21.1,106
21.2,30
21.3,29
21.4,212
21.5,264
22,279
22.1,0
22.2,0
22.3,0
22.4,0
22.5,0
23,0
23.1,21
23.2,0
23.3,272
23.4,24
23.5,0
0,447
0.1,117
0.2,1
0.3,9
0.4,107
0.5,3
1,54
1.1,1
1.2,12
1.3,54
1.4,330
1.5,152
2,221
2.1,211
2.2,23
2.3,0
2.4,0
2.5,0
3,0
3.1,0
3.2,0
3.3,0
3.4,0
3.5,0
4,0
4.1,0
4.2,0
4.3,0
4.4,0
4.5,0
5,22
5.1,15
5.2,361
5.3,197
5.4,0
5.5,1
6,0
6.1,0
6.2,0
6.3,0
6.4,0
6.5,0
7,0
7.1,0
7.2,0
7.3,0
7.4,0
7.5,0
8,0
8.1,0
8.2,0
8.3,0
8.4,0
8.5,0
9,0
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
10,0
10.1,0
10.2,0
10.3,0
10.4,0
10.5,0
11,0
11.1,0
11.2,0
11.3,0
11.4,0
11.5,0
12,0
12.1,0
12.2,0
12.3,0
12.4,0
12.5,0
13,0
13.1,0
13.2,0
13.3,0
13.4,0
13.5,0
14,0
14.1,0
14.2,0
14.3,0
14.4,0
14.5,49
15,145
15.1,283
15.2,159
15.3,301
15.4,100
15.5,316
16,275
16.1,19
16.2,232
16.3,233
16.4,342
16.5,170
17,5
17.1,0
17.2,0
17.3,0
17.4,0
17.5,0
18,43
18.1,315
18.2,10
18.3,135
18.4,101
18.5,3
19,0
19.1,0
19.2,0
19.3,0
19.4,0
19.5,0
20,0
20.1,0
20.2,0
20.3,0
20.4,16
20.5,234
21,215
21.1,74
21.2,78
21.3,109
21.4,168
21.5,18
22,0
22.1,0
22.2,0
22.3,0
22.4,0
22.5,0
23,2
23.1,8
23.2,79
23.3,36
23.4,0
23.5,0
0,201
0.1,103
0.2,50
0.3,241
0.4,1
0.5,0
1,270
1.1,164
1.2,93
1.3,20
1.4,0
1.5,362
2,13
2.1,26
2.2,23
2.3,54
