Registro empezado el 2023/1/3 a las 14:7,,,,,,,,
Hora,Canal1,,,,,,,
14:10,0,,,,,,,
14:20,12,,,,,,,
14:30,0,,,,,,,
14:40,0,,,,,,,
14:50,0,,,,,,,
15:00,0,,,,,,,
15:10,0,,,,,,,
15:20,0,,,,,,,
15:30,0,,,,,,,
15:40,0,,,,,,,
15:50,0,,,,,,,
16:00,0,,,,,,,
16:10,0,,,,,,,
16:20,0,,,,,,,
16:30,0,,,,,,,
16:40,0,,,,,,,
16:50,0,,,,,,,
17:00,204,,,,,,,
17:10,74,,,,,,,
17:20,209,,,,,,,
17:30,247,,,,,,,
17:40,237,,,,,,,
17:50,63,,,,,,,
18:00,0,,,,,,,
18:10,103,,,,,,,
18:20,100,,,,,,,
18:30,0,,,,,,,
18:40,0,,,,,,,
18:50,0,,,,,,,
19:00,0,,,,,,,
19:10,0,,,,,,,
19:20,0,,,,,,,
19:30,0,,,,,,,
19:40,0,,,,,,,
19:50,0,,,,,,,
20:00,0,,,,,,,
20:10,0,,,,,,,
20:20,59,,,,,,,
20:30,97,,,,,,,
20:40,208,,,,,,,
20:50,49,,,,,,,
21:00,254,,,,,,,
21:10,106,,,,,,,
21:20,30,,,,,,,
21:30,29,,,,,,,
21:40,212,,,,,,,
21:50,264,,,,,,,
22:00,279,,,,,,,
22:10,0,,,,,,,
22:20,0,,,,,,,
22:30,0,,,,,,,
22:40,0,,,,,,,
22:50,0,,,,,,,
23:00,0,,,,,,,
23:10,21,,,,,,,
23:20,0,,,,,,,
23:30,272,,,,,,,
23:40,24,,,,,,,
23:50,0,,,,,,,
00:00,,447,,,,,,
00:10,,117,,,,,,
00:20,,1,,,,,,
00:30,,9,,,,,,
00:40,,107,,,,,,
00:50,,3,,,,,,
01:00,,54,,,,,,
01:10,,1,,,,,,
01:20,,12,,,,,,
01:30,,54,,,,,,
01:40,,330,,,,,,
01:50,,152,,,,,,
02:00,,221,,,,,,
02:10,,211,,,,,,
02:20,,23,,,,,,
02:30,,0,,,,,,
02:40,,0,,,,,,
02:50,,0,,,,,,
03:00,,0,,,,,,
03:10,,0,,,,,,
03:20,,0,,,,,,
03:30,,0,,,,,,
03:40,,0,,,,,,
03:50,,0,,,,,,
04:00,,0,,,,,,
04:10,,0,,,,,,
04:20,,0,,,,,,
04:30,,0,,,,,,
04:40,,0,,,,,,
04:50,,0,,,,,,
05:00,,22,,,,,,
05:10,,15,,,,,,
05:20,,361,,,,,,
05:30,,197,,,,,,
05:40,,0,,,,,,
05:50,,1,,,,,,
06:00,,0,,,,,,
06:10,,0,,,,,,
06:20,,0,,,,,,
06:30,,0,,,,,,
06:40,,0,,,,,,
06:50,,0,,,,,,
07:00,,0,,,,,,
07:10,,0,,,,,,
07:20,,0,,,,,,
07:30,,0,,,,,,
07:40,,0,,,,,,
07:50,,0,,,,,,
08:00,,0,,,,,,
08:10,,0,,,,,,
08:20,,0,,,,,,
08:30,,0,,,,,,
08:40,,0,,,,,,
08:50,,0,,,,,,
09:00,,0,,,,,,
09:10,,0,,,,,,
09:20,,0,,,,,,
09:30,,0,,,,,,
09:40,,0,,,,,,
09:50,,0,,,,,,
10:00,,0,,,,,,
10:10,,0,,,,,,
10:20,,0,,,,,,
10:30,,0,,,,,,
10:40,,0,,,,,,
10:50,,0,,,,,,
11:00,,0,,,,,,
11:10,,0,,,,,,
11:20,,0,,,,,,
11:30,,0,,,,,,
11:40,,0,,,,,,
11:50,,0,,,,,,
12:00,,0,,,,,,
12:10,,0,,,,,,
12:20,,0,,,,,,
12:30,,0,,,,,,
12:40,,0,,,,,,
12:50,,0,,,,,,
13:00,,0,,,,,,
13:10,,0,,,,,,
13:20,,0,,,,,,
13:30,,0,,,,,,
13:40,,0,,,,,,
13:50,,0,,,,,,
14:00,,0,,,,,,
14:10,,0,,,,,,
14:20,,0,,,,,,
14:30,,0,,,,,,
14:40,,0,,,,,,
14:50,,49,,,,,,
15:00,,145,,,,,,
15:10,,283,,,,,,
15:20,,159,,,,,,
15:30,,301,,,,,,
15:40,,100,,,,,,
15:50,,316,,,,,,
16:00,,275,,,,,,
16:10,,19,,,,,,
16:20,,232,,,,,,
16:30,,233,,,,,,
16:40,,342,,,,,,
16:50,,170,,,,,,
17:00,,5,,,,,,
17:10,,0,,,,,,
17:20,,0,,,,,,
17:30,,0,,,,,,
17:40,,0,,,,,,
17:50,,0,,,,,,
18:00,,43,,,,,,
18:10,,315,,,,,,
18:20,,10,,,,,,
18:30,,135,,,,,,
18:40,,101,,,,,,
18:50,,3,,,,,,
19:00,,0,,,,,,
19:10,,0,,,,,,
19:20,,0,,,,,,
19:30,,0,,,,,,
19:40,,0,,,,,,
19:50,,0,,,,,,
20:00,,0,,,,,,
20:10,,0,,,,,,
20:20,,0,,,,,,
20:30,,0,,,,,,
20:40,,16,,,,,,
20:50,,234,,,,,,
21:00,,215,,,,,,
21:10,,74,,,,,,
21:20,,78,,,,,,
21:30,,109,,,,,,
21:40,,168,,,,,,
21:50,,18,,,,,,
22:00,,0,,,,,,
22:10,,0,,,,,,
22:20,,0,,,,,,
22:30,,0,,,,,,
22:40,,0,,,,,,
22:50,,0,,,,,,
23:00,,2,,,,,,
23:10,,8,,,,,,
23:20,,79,,,,,,
23:30,,36,,,,,,
23:40,,0,,,,,,
23:50,,0,,,,,,
00:00,,,201,,,,,
00:10,,,103,,,,,
00:20,,,50,,,,,
00:30,,,241,,,,,
00:40,,,1,,,,,
00:50,,,0,,,,,
01:00,,,270,,,,,
01:10,,,164,,,,,
01:20,,,93,,,,,
01:30,,,20,,,,,
01:40,,,0,,,,,
01:50,,,362,,,,,
02:00,,,13,,,,,
02:10,,,26,,,,,
02:20,,,23,,,,,
02:30,,,54,,,,,
02:40,,,65,,,,,
02:50,,,50,,,,,
03:00,,,8,,,,,
03:10,,,0,,,,,
03:20,,,0,,,,,
03:30,,,4,,,,,
03:40,,,0,,,,,
03:50,,,0,,,,,
04:00,,,18,,,,,
04:10,,,44,,,,,
04:20,,,0,,,,,
04:30,,,0,,,,,
04:40,,,0,,,,,
04:50,,,0,,,,,
05:00,,,43,,,,,
05:10,,,7,,,,,
05:20,,,6,,,,,
05:30,,,4,,,,,
05:40,,,243,,,,,
05:50,,,0,,,,,
06:00,,,0,,,,,
06:10,,,0,,,,,
06:20,,,0,,,,,
06:30,,,0,,,,,
06:40,,,33,,,,,
06:50,,,0,,,,,
07:00,,,0,,,,,
07:10,,,0,,,,,
