"","Track_ID","_TargetID","_Day","_Trial","_Arena","Probe","Sexo","tratamiento","strategy","name","confidence","1","2","3","4","5","6","7","8","9","path.length","mean.velocity","sd.velocity","total.time","latency.to.goal","goal.crossings","old.goal.crossings","coverage","mean.d.centroid","mean.d.goal","mean.d.old.goal","mean.d.origin","sd.d.centroid","sd.d.goal","sd.d.old.goal","sd.d.origin","centroid.goal.displacement","centroid.old.goal.displacement","mean.initial.heading.error","initial.trajectory.error","initial.reversal.error","turning","turning.absolute","efficiency","roaming.entropy","time.in.zone.pool","time.in.zone.wall","time.in.zone.far.wall","time.in.zone.annulus","time.in.zone.goal","time.in.zone.old.goal","time.in.zone.n.quadrant","time.in.zone.e.quadrant","time.in.zone.s.quadrant","time.in.zone.w.quadrant"
"fluoxetina_grupo1_16","fluoxetina_grupo1_16","1a","2","1","Arena_NE.txt","FALSE","masculino","CUMS_Fluox",1,"thigmotaxis",0.676,0.676,0.124,0.044,0.136,0.012,0.006,0,0,0,803.89227510738,21.8387766031151,10.9365089543878,36.8082,NA,0,0,0.345189906350135,40.1848620446531,66.9010148305472,NA,47.1813213322071,17.9956032652451,21.2793414025091,NA,12.3862409634512,54.7264450748781,NA,74.7269044972772,61.9130259641701,NA,-0.0042648553662972,0.612485038423014,0,0.804547766779747,59.0683229813665,37.0807453416149,9.87577639751553,5.77639751552795,0,0,28.1366459627329,6.52173913043478,4.84472049689441,19.5652173913043
"fluoxetina_grupo1_17","fluoxetina_grupo1_17","1a","2","2","Arena_NE.txt","FALSE","masculino","CUMS_Fluox",6,"directed search",0.286,0.056,0.096,0.124,0.264,0.158,0.286,0.01,0,0,394.859036547966,23.688925662596,9.27620876669159,17.3478,NA,0,0,0.338882095474082,40.3146725608884,50.7852697565806,NA,40.890060289016,12.4119189919059,23.6005752474001,NA,11.4208572160447,36.5405044405182,NA,98.6205536902297,38.4651947089833,NA,0.0269607794850673,0.477996129590137,0,0.74767220466742,60,19.8387096774194,12.5806451612903,15.4838709677419,0,0,9.67741935483871,20.3225806451613,14.5161290322581,15.4838709677419
"fluoxetina_grupo1_18","fluoxetina_grupo1_18","1a","2","3","Arena_NE.txt","FALSE","masculino","CUMS_Fluox",4,"scanning",0.454,0.054,0.19,0.16,0.454,0.07,0.07,0,0,0,671.266597724267,21.098165326853,8.89347121031608,31.848,32.13,1,0,0.262652349472929,38.0539181190325,52.1702744948477,NA,41.5769821762089,13.2281846595176,25.5897601732738,NA,12.3243968574044,41.977289321562,NA,45.978938310874,55.5362195688543,NA,0.00270341665145358,0.526256871151755,19.2307692307692,0.821286373336014,60,23.7113402061856,13.6082474226804,12.3711340206186,0.412371134020619,0,21.8556701030928,20.4123711340206,17.5257731958763,0.206185567010309
"fluoxetina_grupo1_19","fluoxetina_grupo1_19","1a","2","4","Arena_NE.txt","FALSE","masculino","CUMS_Fluox",4,"scanning",0.334,0.17,0.106,0.328,0.334,0.018,0.03,0,0,0,1173.55034700194,19.5961107471251,8.35422360533832,59.53998,NA,0,0,0.618930995606065,34.8509159305017,58.3226966651629,NA,38.1405904817139,15.1921368285749,22.4155900668901,NA,14.676871343615,49.4637026855691,NA,62.2965634647053,27.3408119850161,NA,-0.00146256641228575,0.386788283671296,0,0.864542023670842,59.5547309833024,20.7050092764378,11.4656771799629,7.79220779220779,0,0,26.9387755102041,10.5751391465677,9.46196660482375,12.5788497217069
"fluoxetina_grupo1_20","fluoxetina_grupo1_20","2a","2","1","Arena_NE.txt","FALSE","masculino","CUMS_Fluox",4,"scanning",0.5,0.062,0.178,0.154,0.5,0.022,0.046,0,0,0,1315.08918574262,22.4997142877908,9.52361536692769,59.43798,NA,0,0,0.0211550721469963,31.7812671241175,67.0990866031872,NA,40.425532062223,13.6131124495714,15.5897513270445,NA,13.4502870266977,59.6401948995338,NA,67.4448914749581,75.7435345623638,NA,0.0106878397960608,0.454360799509789,0,0.848884603525132,60,20.9142857142857,15.2,10.8571428571429,0,0,32.3428571428571,14.1714285714286,0.914285714285714,12.5714285714286
"fluoxetina_grupo1_21","fluoxetina_grupo1_21","2a","2","2","Arena_NE.txt","FALSE","masculino","CUMS_Fluox",6,"directed search",0.564,0.002,0.088,0.006,0.238,0.072,0.564,0.028,0,0,393.099450425721,18.3109849347596,9.01162640617407,21.5178,22.23,1,0,0.0703800450629641,19.1270187856318,33.1420742357728,NA,39.1721854730042,11.0820552283163,15.3148728848675,NA,10.7680429712456,29.0073383739089,NA,105.552049351416,29.4545378507285,NA,-0.00343171770389585,0.598184766644018,0,0.707295552206665,60,14.9222797927461,13.3678756476684,19.5854922279793,0.621761658031088,0,0,29.8445595854922,30.1554404145078,0
"fluoxetina_grupo1_22","fluoxetina_grupo1_22","2a","2","3","Arena_NE.txt","FALSE","masculino","CUMS_Fluox",6,"directed search",0.488,0.01,0.064,0.008,0.366,0.02,0.488,0.034,0.004,0,318.335398257476,18.466731396078,7.45301773212119,17.3082,18.048,1,0,0.127948449243988,27.1876913084856,51.2588562031649,NA,36.1990124995864,15.5935759055504,22.7142769360466,NA,12.7379258860956,46.7117470898246,NA,23.5606455494203,52.9270326770734,NA,-0.0174647678555724,0.460832636591533,36.3636363636364,0.730057880892605,60,15.3846153846154,8.84615384615385,16.1538461538462,0.384615384615385,0,19.2307692307692,26.9230769230769,13.8461538461538,0
"fluoxetina_grupo1_23","fluoxetina_grupo1_23","2a","2","4","Arena_NE.txt","FALSE","masculino","CUMS_Fluox",3,"random path",0.474,0.29,0.086,0.474,0.098,0.042,0.008,0,0,0,1557.6649038051,26.3842800983028,10.2428957819442,59.2878,NA,0,0,1.14068075764929,40.2307507797606,50.537811595236,NA,41.7091133406131,14.1731470469917,21.8480416811381,NA,13.5954501915504,34.8982799822134,NA,36.3117968650545,56.2760624777534,NA,-0.00211955742834441,0.438959059182438,17.2413793103448,0.892738940731606,59.3283582089552,24.5149253731343,12.4253731343284,11.3059701492537,0,0,13.7686567164179,10.2985074626866,13.7686567164179,21.4925373134328
"fluoxetina_grupo1_24","fluoxetina_grupo1_24","3a","2","1","Arena_NE.txt","FALSE","masculino","CUMS_Fluox",4,"scanning",0.424,0.038,0.088,0.17,0.424,0.214,0.06,0,0,0,745.933732550325,23.1985808238587,8.62518573921731,32.09202,NA,0,0,0.852786366626604,38.028367334102,44.3491654079985,NA,40.950869767551,10.4385655754131,21.9665153190911,NA,11.0938531046236,29.826247924599,NA,30.5346563479204,19.5589595837815,NA,-0.00112692147622989,0.421003372174816,30.7692307692308,0.83273846832568,60,21.1034482758621,14.0689655172414,15.3103448275862,0,0,13.6551724137931,19.6551724137931,21.5172413793103,5.17241379310345
"fluoxetina_grupo1_25","fluoxetina_grupo1_25","3a","2","2","Arena_NE.txt","FALSE","masculino","CUMS_Fluox",4,"scanning",0.484,0.03,0.1,0.236,0.484,0.036,0.106,0,0,0,839.521277524025,21.4145314999633,8.1806023919234,39.48798,39.888,1,0,0.792947125463041,36.1801796512924,40.6154458603075,NA,38.1453634833476,13.5703700912856,19.704256700915,NA,13.8041042988954,23.4892075887983,NA,37.4037294986399,28.4587138859085,NA,-0.00311872878251857,0.514014700454105,11.4285714285714,0.845046503375383,60,19.327731092437,12.6050420168067,11.5966386554622,0.168067226890756,0,10.2521008403361,16.6386554621849,24.0336134453782,9.07563025210084
