"","Test","Animal","Treatment","Stage","Trial","Date","Time","Duration","Distance","Mean.speed","SE.cuadrante...time","SWcuadrante...time","NW.Cuadrante...time","NE.cuadrante...time","Annulus.NE...entries","Annulus.NE...latency.to.first.entry","Annulus.NE...mean.distance.from","Annulus.NE...path.efficiency.to.entry","Annulus.NE...CIPL","Annulus.SW...entries","Annulus.SW...latency.to.first.entry","Annulus.SW...mean.distance.from","Annulus.SW...path.efficiency.to.entry","Annulus.SW...CIPL","comprobar_porcentajes","tipo_cuadrante","porcentaje_en_cuadrante"
"1",406,"1a","CUMS_Fluox","prueba_rev",1,"2/7/2023","13:12",60,12.01,0.2,14.3,11.6,26.4,7.7,2,37.3,0.427,0.095,15.04,1,10.2,0.392,0.13,2.31,100,"porcentaje_cuadrante_blanco_SO",19.3333333333333
"2",406,"1a","CUMS_Fluox","prueba_rev",1,"2/7/2023","13:12",60,12.01,0.2,14.3,11.6,26.4,7.7,2,37.3,0.427,0.095,15.04,1,10.2,0.392,0.13,2.31,100,"porcentaje_cuadrante_antiguo_NE",12.8333333333333
"3",406,"1a","CUMS_Fluox","prueba_rev",1,"2/7/2023","13:12",60,12.01,0.2,14.3,11.6,26.4,7.7,2,37.3,0.427,0.095,15.04,1,10.2,0.392,0.13,2.31,100,"porcentaje_cuadrante_opuesto_1",23.8333333333333
"4",406,"1a","CUMS_Fluox","prueba_rev",1,"2/7/2023","13:12",60,12.01,0.2,14.3,11.6,26.4,7.7,2,37.3,0.427,0.095,15.04,1,10.2,0.392,0.13,2.31,100,"porcentaje_cuadrante_opuesto_2",44
"5",407,"2a","CUMS_Fluox","prueba_rev",1,"2/7/2023","13:22",60,12.57,0.21,23.5,17.4,5,14.1,0,NA,0.392,NA,NA,3,14.4,0.39,0.073,5.65,100,"porcentaje_cuadrante_blanco_SO",29
"6",407,"2a","CUMS_Fluox","prueba_rev",1,"2/7/2023","13:22",60,12.57,0.21,23.5,17.4,5,14.1,0,NA,0.392,NA,NA,3,14.4,0.39,0.073,5.65,100,"porcentaje_cuadrante_antiguo_NE",23.5
"7",407,"2a","CUMS_Fluox","prueba_rev",1,"2/7/2023","13:22",60,12.57,0.21,23.5,17.4,5,14.1,0,NA,0.392,NA,NA,3,14.4,0.39,0.073,5.65,100,"porcentaje_cuadrante_opuesto_1",39.1666666666667
"8",407,"2a","CUMS_Fluox","prueba_rev",1,"2/7/2023","13:22",60,12.57,0.21,23.5,17.4,5,14.1,0,NA,0.392,NA,NA,3,14.4,0.39,0.073,5.65,100,"porcentaje_cuadrante_opuesto_2",8.33333333333333
"9",408,"3a","CUMS_Fluox","prueba_rev",1,"2/7/2023","13:33",60,11.126,0.185,7.4,43.6,0.6,8.5,0,NA,0.566,NA,NA,10,1.6,0.222,0.949,0.1,100.166666666667,"porcentaje_cuadrante_blanco_SO",72.6666666666667
"10",408,"3a","CUMS_Fluox","prueba_rev",1,"2/7/2023","13:33",60,11.126,0.185,7.4,43.6,0.6,8.5,0,NA,0.566,NA,NA,10,1.6,0.222,0.949,0.1,100.166666666667,"porcentaje_cuadrante_antiguo_NE",14.1666666666667
"11",408,"3a","CUMS_Fluox","prueba_rev",1,"2/7/2023","13:33",60,11.126,0.185,7.4,43.6,0.6,8.5,0,NA,0.566,NA,NA,10,1.6,0.222,0.949,0.1,100.166666666667,"porcentaje_cuadrante_opuesto_1",12.3333333333333
"12",408,"3a","CUMS_Fluox","prueba_rev",1,"2/7/2023","13:33",60,11.126,0.185,7.4,43.6,0.6,8.5,0,NA,0.566,NA,NA,10,1.6,0.222,0.949,0.1,100.166666666667,"porcentaje_cuadrante_opuesto_2",1
"13",409,"4a","CUMS_Fluox","prueba_rev",1,"2/7/2023","13:48",60,14.204,0.237,16.8,22.2,5.3,15.7,2,26.1,0.409,0.127,11.44,2,22.7,0.369,0.042,5.18,100,"porcentaje_cuadrante_blanco_SO",37
"14",409,"4a","CUMS_Fluox","prueba_rev",1,"2/7/2023","13:48",60,14.204,0.237,16.8,22.2,5.3,15.7,2,26.1,0.409,0.127,11.44,2,22.7,0.369,0.042,5.18,100,"porcentaje_cuadrante_antiguo_NE",26.1666666666667
"15",409,"4a","CUMS_Fluox","prueba_rev",1,"2/7/2023","13:48",60,14.204,0.237,16.8,22.2,5.3,15.7,2,26.1,0.409,0.127,11.44,2,22.7,0.369,0.042,5.18,100,"porcentaje_cuadrante_opuesto_1",28
"16",409,"4a","CUMS_Fluox","prueba_rev",1,"2/7/2023","13:48",60,14.204,0.237,16.8,22.2,5.3,15.7,2,26.1,0.409,0.127,11.44,2,22.7,0.369,0.042,5.18,100,"porcentaje_cuadrante_opuesto_2",8.83333333333333
"17",410,"1b","CUMS_ctrl","prueba_rev",1,"2/7/2023","14:00",60,14.925,0.249,9.8,28.3,10.5,11.4,1,14.8,0.481,0.237,7.44,9,1,0.356,0.999,0.02,100,"porcentaje_cuadrante_blanco_SO",47.1666666666667
"18",410,"1b","CUMS_ctrl","prueba_rev",1,"2/7/2023","14:00",60,14.925,0.249,9.8,28.3,10.5,11.4,1,14.8,0.481,0.237,7.44,9,1,0.356,0.999,0.02,100,"porcentaje_cuadrante_antiguo_NE",19
"19",410,"1b","CUMS_ctrl","prueba_rev",1,"2/7/2023","14:00",60,14.925,0.249,9.8,28.3,10.5,11.4,1,14.8,0.481,0.237,7.44,9,1,0.356,0.999,0.02,100,"porcentaje_cuadrante_opuesto_1",16.3333333333333
"20",410,"1b","CUMS_ctrl","prueba_rev",1,"2/7/2023","14:00",60,14.925,0.249,9.8,28.3,10.5,11.4,1,14.8,0.481,0.237,7.44,9,1,0.356,0.999,0.02,100,"porcentaje_cuadrante_opuesto_2",17.5
"21",411,"2b","CUMS_ctrl","prueba_rev",1,"2/7/2023","14:13",60,13.398,0.223,8.1,33.4,9.4,9.1,2,21.4,0.497,0.163,10.45,8,1.2,0.264,0.849,0.06,100,"porcentaje_cuadrante_blanco_SO",55.6666666666667
"22",411,"2b","CUMS_ctrl","prueba_rev",1,"2/7/2023","14:13",60,13.398,0.223,8.1,33.4,9.4,9.1,2,21.4,0.497,0.163,10.45,8,1.2,0.264,0.849,0.06,100,"porcentaje_cuadrante_antiguo_NE",15.1666666666667
"23",411,"2b","CUMS_ctrl","prueba_rev",1,"2/7/2023","14:13",60,13.398,0.223,8.1,33.4,9.4,9.1,2,21.4,0.497,0.163,10.45,8,1.2,0.264,0.849,0.06,100,"porcentaje_cuadrante_opuesto_1",13.5
"24",411,"2b","CUMS_ctrl","prueba_rev",1,"2/7/2023","14:13",60,13.398,0.223,8.1,33.4,9.4,9.1,2,21.4,0.497,0.163,10.45,8,1.2,0.264,0.849,0.06,100,"porcentaje_cuadrante_opuesto_2",15.6666666666667
