Test,Animal,Treatment,Stage,Trial,Date,Time,Duration,Distance,Mean speed,TiempoSE,TiempoSO,TiempoNO,TiempoNE,Zona SE : time,Zona SW : time,Zona NE : time,Zona NW : time,EntradasNE,Annulus NE : latency to first entry,PromedioNE,Annulus NE : initial heading error,Annulus NE : average absolute heading error,EficienciaNE,Annulus NE : CIPL,EntradasSO,Annulus SW : latency to first entry,PromedioSO,Annulus SW : initial heading error,Annulus SW : average absolute heading error,EficianciaSO,Annulus SW : CIPL,Sexo
1,#1,keta,pre-entrenamiento 1 salida,1,3/6/2023,13:38,60,14.584,0.243,5.6,25.5,22.7,6.1,2.6,8.9,0.9,7.2,0,,0.598,62,82,,,3,8,0.392,104,87,0.108,2.39,
2,#2,keta,pre-entrenamiento 1 salida,1,3/6/2023,13:41,58.5,13.704,0.234,15.1,9.1,17.1,17.1,2.5,4.1,2.6,3.9,0,,0.444,116,86,,,2,30.2,0.54,63,85,0.122,15.54,
3,#3,keta,pre-entrenamiento 1 salida,1,3/6/2023,13:42,0.9,0.048,0.051,0,0,0,0.9,0,0,0.9,0,1,0,0,180,,,,0,,0.613,,139,,,
4,#4,keta,pre-entrenamiento 1 salida,1,3/6/2023,13:42,0.7,0,0,0,0,0,0.7,0,0,0.7,0,1,0,0,172,,,,0,,0.604,,,,,
5,#5,keta,pre-entrenamiento 1 salida,1,3/6/2023,13:42,1,0,0,0,0,0,1,0,0,1,0,1,0,0,,,,,0,,0.592,,,,,
6,#6,keta,pre-entrenamiento 1 salida,1,3/6/2023,13:43,1,0,0,0,0,0,1,0,0,1,0,1,0,0,159,,,,0,,0.592,,47,,,
7,#7,keta,pre-entrenamiento 1 salida,1,3/6/2023,13:43,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,,0,,,,,
8,#8,keta,pre-entrenamiento 1 salida,1,3/6/2023,13:43,1.1,0.011,0.01,0,0,0,1.1,0,0,1.1,0,1,0,0,27,,,,0,,0.589,,72,,,
9,#9,keta,pre-entrenamiento 1 salida,1,3/6/2023,13:43,2.5,0.036,0.015,0,0,0,2.5,0,0,2.5,0,1,1,0.013,41,,0.68,0.01,0,,0.593,155,163,,,
10,#1,keta,entrenamiento_1,1,3/6/2023,13:43,1.1,0,0,0,0,0,1.1,0,0,1.1,0,1,0,0,37,,,,0,,0.638,43,,,,
11,#1,keta,entrenamiento_1,2,3/6/2023,13:43,1.2,0.005,0.005,0,0,0,1.2,0,0,1.2,0,0,,0.006,,71,,,0,,0.641,,73,,,
