"Test","Animal","Treatment","Stage","Trial","Date","Time","Duration","Distance","Velocidad","TiempoSE","TiempoSO","TiempoNO","TiempoNE","Annulus.NE...entries","Annulus.NE...latency.to.first.entry","Annulus.NE...mean.distance.from","Annulus.NE...path.efficiency.to.entry","Annulus.NE...CIPL","Annulus.SW...entries","Annulus.SW...latency.to.first.entry","Annulus.SW...mean.distance.from","Annulus.SW...path.efficiency.to.entry","Annulus.SW...CIPL"
5,"1b","CUMS_ctrl","pre-entrenamiento 1 salida",1,"12/16/2022","15:13",27.1,6.275,0.232,5.7,2.7,11.4,7.4,0,NA,0.43,NA,NA,0,NA,0.584,NA,NA
6,"2b","CUMS_ctrl","pre-entrenamiento 1 salida",1,"12/16/2022","15:15",30.3,7.636,0.252,5.3,5,9.2,10.8,1,21.4,0.399,0.049,7.6,0,NA,0.537,NA,NA
7,"3b","CUMS_ctrl","pre-entrenamiento 1 salida",1,"12/16/2022","15:18",13.2,3.275,0.247,2.1,0.1,6.3,4.8,0,NA,0.367,NA,NA,0,NA,0.647,NA,NA
8,"1-1","CUMS_ctrl","pre-entrenamiento 1 salida",1,"12/16/2022","15:20",60,4.076,0.068,34.1,6.3,13.2,6.4,0,NA,0.4,NA,NA,0,NA,0.613,NA,NA
9,"2-1","CUMS_ctrl","pre-entrenamiento 1 salida",1,"12/16/2022","15:21",11.5,2.246,0.196,3.6,0,0,7.8,1,5.4,0.254,0.405,0.72,0,NA,0.641,NA,NA
10,"3-1","CUMS_ctrl","pre-entrenamiento 1 salida",1,"12/16/2022","15:25",55.3,10.104,0.183,9.4,6.6,23.1,16.2,0,NA,0.421,NA,NA,1,42.4,0.522,0.097,21.13
11,"4-1","CUMS_ctrl","pre-entrenamiento 1 salida",1,"12/16/2022","15:27",45.3,10.116,0.223,1.5,9.6,18.7,15.5,0,NA,0.453,NA,NA,0,NA,0.564,NA,NA
1,"1a","CUMS_Fluox","pre-entrenamiento 1 salida",1,"12/16/2022","15:04",60,12.342,0.206,20.5,4.5,8.8,26.2,1,47,0.356,0.035,13.15,0,NA,0.58,NA,NA
2,"2a","CUMS_Fluox","pre-entrenamiento 1 salida",1,"12/16/2022","15:06",9.4,1.556,0.165,0,0,2.5,6.9,0,NA,0.304,NA,NA,0,NA,0.73,NA,NA
3,"3a","CUMS_Fluox","pre-entrenamiento 1 salida",1,"12/16/2022","15:07",46.3,11.319,0.244,11.4,13.4,9.9,11.5,0,NA,0.461,NA,NA,0,NA,0.426,NA,NA
4,"4a","CUMS_Fluox","pre-entrenamiento 1 salida",1,"12/16/2022","15:09",9,1.738,0.192,0.8,0.9,1.8,5.6,1,5.8,0.262,0.299,1.18,0,NA,0.618,NA,NA
12,"1-2","CUMS_Fluox","pre-entrenamiento 1 salida",1,"12/16/2022","15:31",47.9,8.039,0.168,3.4,0,8.9,35.7,0,NA,0.274,NA,NA,0,NA,0.709,NA,NA
13,"2-2","CUMS_Fluox","pre-entrenamiento 1 salida",1,"12/16/2022","15:32",60,11.701,0.195,12.9,6.9,11.5,28.7,1,16.8,0.374,0.113,3.77,1,57.6,0.607,0.071,34.09
14,"3-2","CUMS_Fluox","pre-entrenamiento 1 salida",1,"12/16/2022","15:35",9.2,1.485,0.162,0,0,3.9,5.2,0,NA,0.388,NA,NA,0,NA,0.678,NA,NA
15,"4-2","CUMS_Fluox","pre-entrenamiento 1 salida",1,"12/16/2022","15:36",35.4,7.124,0.201,4.7,10,8.1,12.6,0,NA,0.457,NA,NA,0,NA,0.525,NA,NA
32,"1b","CUMS_ctrl","entrenamiento_1",1,"12/19/2022","15:15",60,12.676,0.211,28.5,20.6,7.7,3.2,0,NA,0.621,NA,NA,0,NA,0.416,NA,NA
33,"1b","CUMS_ctrl","entrenamiento_1",2,"12/19/2022","15:17",31,5.304,0.171,11.8,0,0,19.2,1,31,0.296,0.058,8.89,0,NA,0.679,NA,NA
34,"1b","CUMS_ctrl","entrenamiento_1",3,"12/19/2022","15:18",14.4,2.089,0.145,3.8,9.2,0,1.4,1,14.4,0.633,0.381,6.91,0,NA,0.25,NA,NA
35,"1b","CUMS_ctrl","entrenamiento_1",4,"12/19/2022","15:19",45.1,7.996,0.177,4.9,9.1,8.7,22.5,1,45.1,0.351,0.045,15.43,0,NA,0.537,NA,NA
36,"2b","CUMS_ctrl","entrenamiento_1",1,"12/19/2022","15:22",46.6,9.624,0.206,8.4,21.2,12.8,4.2,1,46.6,0.59,0.083,25.91,1,6.6,0.345,0.306,1.13
37,"2b","CUMS_ctrl","entrenamiento_1",2,"12/19/2022","15:23",21.7,4.639,0.214,4.3,3.7,5,8.7,1,21.7,0.402,0.043,8.6,0,NA,0.492,NA,NA
38,"2b","CUMS_ctrl","entrenamiento_1",3,"12/19/2022","15:24",10.2,1.721,0.169,2.9,3.4,3.1,0.8,1,10.1,0.498,0.354,3.9,0,NA,0.259,NA,NA
39,"2b","CUMS_ctrl","entrenamiento_1",4,"12/19/2022","15:25",13,1.938,0.15,3.2,0,2.5,7.3,1,12.9,0.323,0.19,3.65,0,NA,0.645,NA,NA
40,"3b","CUMS_ctrl","entrenamiento_1",1,"12/19/2022","15:27",60,14.258,0.238,15.5,20.6,15.4,8.4,0,NA,0.551,NA,NA,0,NA,0.388,NA,NA
41,"3b","CUMS_ctrl","entrenamiento_1",2,"12/19/2022","15:29",5.3,1.082,0.206,2,0,0,3.2,1,5.2,0.323,0.399,1.33,0,NA,0.679,NA,NA
42,"3b","CUMS_ctrl","entrenamiento_1",3,"12/19/2022","15:30",3.4,0.37,0.109,0,0,0,3.4,1,3.4,0.226,0.9,0.25,0,NA,0.752,NA,NA
43,"3b","CUMS_ctrl","entrenamiento_1",4,"12/19/2022","15:31",21.8,4.255,0.195,12.1,0,4,5.7,1,21.8,0.344,0.108,6.93,0,NA,0.531,NA,NA
44,"1-1","CUMS_ctrl","entrenamiento_1",1,"12/19/2022","15:34",60,13.17,0.22,17.5,25.1,8.5,8.9,0,NA,0.559,NA,NA,2,32.2,0.402,0.012,13.16
45,"1-1","CUMS_ctrl","entrenamiento_1",2,"12/19/2022","15:36",17.1,3.484,0.204,5.9,2.4,4.1,4.7,1,17.1,0.403,0.089,6.62,0,NA,0.496,NA,NA
46,"1-1","CUMS_ctrl","entrenamiento_1",3,"12/19/2022","15:37",60,12.524,0.209,5.1,10.5,15.6,28.8,0,NA,0.387,NA,NA,2,2.1,0.568,0.801,0.15
47,"1-1","CUMS_ctrl","entrenamiento_1",4,"12/19/2022","15:39",7.2,0.753,0.104,0,0,5.5,1.8,1,7.2,0.347,0.586,1.54,0,NA,0.738,NA,NA
48,"2-1","CUMS_ctrl","entrenamiento_1",1,"12/19/2022","15:43",60,11.863,0.198,4.6,27.9,15.4,12.1,0,NA,0.551,NA,NA,4,1.8,0.382,0.761,0.19
49,"2-1","CUMS_ctrl","entrenamiento_1",2,"12/19/2022","15:44",16.1,3.253,0.202,1.9,6.6,3.8,3.8,1,16.1,0.478,0.146,7.12,0,NA,0.396,NA,NA
50,"2-1","CUMS_ctrl","entrenamiento_1",3,"12/19/2022","15:45",59.9,12.193,0.204,11,18.2,12.9,17.9,1,59.9,0.426,0.052,24.52,2,15.4,0.409,0.096,4.88
51,"2-1","CUMS_ctrl","entrenamiento_1",4,"12/19/2022","15:47",5.7,0.787,0.137,0,0,0.5,5.2,1,5.7,0.2,0.485,0.59,0,NA,0.772,NA,NA
52,"3-1","CUMS_ctrl","entrenamiento_1",1,"12/19/2022","15:49",60,13.367,0.223,14.7,20.1,17,8.2,0,NA,0.556,NA,NA,1,33.9,0.415,0.037,15.53
53,"3-1","CUMS_ctrl","entrenamiento_1",2,"12/19/2022","15:50",48.3,8.596,0.178,14,2.1,12.7,19.5,1,48.3,0.342,0.034,16.27,0,NA,0.528,NA,NA
54,"3-1","CUMS_ctrl","entrenamiento_1",3,"12/19/2022","15:52",47.2,7.832,0.166,7.9,8.6,0,30.7,1,47.2,0.252,0.031,11.89,0,NA,0.566,NA,NA
55,"3-1","CUMS_ctrl","entrenamiento_1",4,"12/19/2022","15:53",10.8,1.574,0.145,1.4,0,0.6,8.8,1,10.8,0.159,0.251,1.15,0,NA,0.633,NA,NA
56,"4-1","CUMS_ctrl","entrenamiento_1",1,"12/19/2022","15:55",60,12.954,0.216,20.3,12.5,12,15.1,0,NA,0.458,NA,NA,0,NA,0.462,NA,NA
57,"4-1","CUMS_ctrl","entrenamiento_1",2,"12/19/2022","15:57",13.5,2.701,0.199,1.5,0,2,10,1,13.5,0.174,0.089,2.2,0,NA,0.65,NA,NA
58,"4-1","CUMS_ctrl","entrenamiento_1",3,"12/19/2022","15:58",16.4,3.662,0.224,5.2,1.4,2.4,7.4,1,16.3,0.27,0.201,3.14,0,NA,0.528,NA,NA
59,"4-1","CUMS_ctrl","entrenamiento_1",4,"12/19/2022","15:59",2.3,0.313,0.136,0,0,0,2.3,1,2.3,0.191,0.922,0.12,0,NA,0.81,NA,NA
16,"1a","CUMS_Fluox","entrenamiento_1",1,"12/19/2022","14:49",37.9,7.813,0.206,3.9,17,14.6,2.5,1,37.9,0.628,0.099,22.31,0,NA,0.363,NA,NA
17,"1a","CUMS_Fluox","entrenamiento_1",2,"12/19/2022","14:50",18.1,3.861,0.213,7.5,2.1,3.6,5,1,18.1,0.416,0.083,7.17,1,12.1,0.509,0.295,5.22
18,"1a","CUMS_Fluox","entrenamiento_1",3,"12/19/2022","14:51",32.3,6.674,0.207,11.4,11.5,0.7,8.7,1,32.2,0.475,0.109,14.01,1,21.4,0.417,0.071,9.03
19,"1a","CUMS_Fluox","entrenamiento_1",4,"12/19/2022","14:52",60,11.517,0.192,10.3,26.6,12.9,10.2,0,NA,0.529,NA,NA,4,6.3,0.336,0.591,1.47
20,"2a","CUMS_Fluox","entrenamiento_1",1,"12/19/2022","14:56",60,12.893,0.215,13.7,33.3,12.1,0.9,0,NA,0.628,NA,NA,1,12.9,0.275,0.072,3.23
21,"2a","CUMS_Fluox","entrenamiento_1",2,"12/19/2022","14:58",22.4,3.831,0.171,10.5,0,0,11.8,1,22.3,0.278,0.069,5.98,0,NA,0.608,NA,NA
22,"2a","CUMS_Fluox","entrenamiento_1",3,"12/19/2022","14:59",18.1,3.114,0.172,8.1,6.1,0,3.8,1,18.1,0.481,0.254,6.82,0,NA,0.367,NA,NA
23,"2a","CUMS_Fluox","entrenamiento_1",4,"12/19/2022","15:01",60,15.475,0.258,10.2,13.8,22.1,13.8,0,NA,0.461,NA,NA,0,NA,0.464,NA,NA
24,"3a","CUMS_Fluox","entrenamiento_1",1,"12/19/2022","15:03",32.5,7.394,0.227,10.6,7.1,2.9,12,1,32.5,0.39,0.043,12.45,1,20.1,0.501,0.167,8.49
25,"3a","CUMS_Fluox","entrenamiento_1",2,"12/19/2022","15:04",39.9,8.315,0.208,11.1,7.3,7.1,14.4,1,39.9,0.366,0.096,13.02,0,NA,0.508,NA,NA
26,"3a","CUMS_Fluox","entrenamiento_1",3,"12/19/2022","15:05",12.5,2.412,0.193,1.7,3.2,6.6,1,1,12.5,0.397,0.155,5.13,0,NA,0.454,NA,NA
27,"3a","CUMS_Fluox","entrenamiento_1",4,"12/19/2022","15:06",10,1.646,0.164,4.4,0,0.9,4.8,1,10,0.274,0.154,2.53,0,NA,0.618,NA,NA
28,"4a","CUMS_Fluox","entrenamiento_1",1,"12/19/2022","15:07",60,12.244,0.204,20.6,28.1,7.7,3.6,0,NA,0.647,NA,NA,0,NA,0.336,NA,NA
29,"4a","CUMS_Fluox","entrenamiento_1",2,"12/19/2022","15:10",6.5,0.939,0.145,1.6,0,0,4.8,1,6.5,0.207,0.381,0.84,0,NA,0.78,NA,NA
30,"4a","CUMS_Fluox","entrenamiento_1",3,"12/19/2022","15:11",44.3,8.541,0.193,12.9,5.5,12.3,13.6,1,44.3,0.39,0.073,17.13,0,NA,0.537,NA,NA
31,"4a","CUMS_Fluox","entrenamiento_1",4,"12/19/2022","15:12",4.4,0.537,0.121,0,0,0,4.4,1,4.4,0.231,0.572,0.6,0,NA,0.801,NA,NA
60,"1-2","CUMS_Fluox","entrenamiento_1",1,"12/19/2022","16:02",60,13.927,0.232,18.6,20.7,10.2,10.4,0,NA,0.568,NA,NA,1,58.1,0.454,0.01,26.7
61,"1-2","CUMS_Fluox","entrenamiento_1",2,"12/19/2022","16:03",39.9,8.749,0.219,11,6.1,8.9,14,1,39.9,0.401,0.038,15.75,0,NA,0.537,NA,NA
62,"1-2","CUMS_Fluox","entrenamiento_1",3,"12/19/2022","16:04",6,1.501,0.248,1.5,0,0,4.5,1,6,0.184,0.227,1.02,0,NA,0.728,NA,NA
63,"1-2","CUMS_Fluox","entrenamiento_1",4,"12/19/2022","16:05",14.6,2.775,0.19,4.4,0.4,4.9,4.9,1,14.6,0.344,0.147,4.57,0,NA,0.631,NA,NA
64,"2-2","CUMS_Fluox","entrenamiento_1",1,"12/19/2022","16:07",7,1.307,0.187,0,2.9,2.2,1.9,1,7,0.445,0.515,1.8,0,NA,0.406,NA,NA
65,"2-2","CUMS_Fluox","entrenamiento_1",2,"12/19/2022","16:08",3.8,0.721,0.19,1.9,0,0,1.9,1,3.8,0.236,0.492,0.51,0,NA,0.552,NA,NA
66,"2-2","CUMS_Fluox","entrenamiento_1",3,"12/19/2022","16:08",60,14.841,0.247,15.5,9.4,16.6,18.4,0,NA,0.436,NA,NA,0,NA,0.492,NA,NA
