"","Treatment","Stage","Duration","Test","Animal"
"1","CUMS_ctrl","entrenamiento_1",60,32,"1b"
"2","CUMS_ctrl","entrenamiento_1",31,33,"1b"
"3","CUMS_ctrl","entrenamiento_1",14.4,34,"1b"
"4","CUMS_ctrl","entrenamiento_1",45.1,35,"1b"
"5","CUMS_ctrl","entrenamiento_1",46.6,36,"2b"
"6","CUMS_ctrl","entrenamiento_1",21.7,37,"2b"
"7","CUMS_ctrl","entrenamiento_1",10.2,38,"2b"
"8","CUMS_ctrl","entrenamiento_1",13,39,"2b"
"9","CUMS_ctrl","entrenamiento_1",60,40,"3b"
"10","CUMS_ctrl","entrenamiento_1",5.3,41,"3b"
"11","CUMS_ctrl","entrenamiento_1",3.4,42,"3b"
"12","CUMS_ctrl","entrenamiento_1",21.8,43,"3b"
"13","CUMS_ctrl","entrenamiento_1",60,44,"1-1"
"14","CUMS_ctrl","entrenamiento_1",17.1,45,"1-1"
"15","CUMS_ctrl","entrenamiento_1",60,46,"1-1"
"16","CUMS_ctrl","entrenamiento_1",7.2,47,"1-1"
"17","CUMS_ctrl","entrenamiento_1",60,48,"2-1"
"18","CUMS_ctrl","entrenamiento_1",16.1,49,"2-1"
"19","CUMS_ctrl","entrenamiento_1",59.9,50,"2-1"
"20","CUMS_ctrl","entrenamiento_1",5.7,51,"2-1"
"21","CUMS_ctrl","entrenamiento_1",60,52,"3-1"
"22","CUMS_ctrl","entrenamiento_1",48.3,53,"3-1"
"23","CUMS_ctrl","entrenamiento_1",47.2,54,"3-1"
"24","CUMS_ctrl","entrenamiento_1",10.8,55,"3-1"
"25","CUMS_ctrl","entrenamiento_1",60,56,"4-1"
"26","CUMS_ctrl","entrenamiento_1",13.5,57,"4-1"
"27","CUMS_ctrl","entrenamiento_1",16.4,58,"4-1"
"28","CUMS_ctrl","entrenamiento_1",2.3,59,"4-1"
"29","CUMS_Fluox","entrenamiento_1",37.9,16,"1a"
"30","CUMS_Fluox","entrenamiento_1",18.1,17,"1a"
"31","CUMS_Fluox","entrenamiento_1",32.3,18,"1a"
"32","CUMS_Fluox","entrenamiento_1",60,19,"1a"
"33","CUMS_Fluox","entrenamiento_1",60,20,"2a"
"34","CUMS_Fluox","entrenamiento_1",22.4,21,"2a"
"35","CUMS_Fluox","entrenamiento_1",18.1,22,"2a"
