"Subject","Factor1","Factor2","DependentVar"
"1","A","Pre",120.6
"1","A","Post",91.5
"1","B","Pre",105.4
"1","B","Post",109.5
"1","C","Pre",106.1
"1","C","Post",98.4
"2","A","Pre",122.7
"2","A","Post",98.6
"2","B","Pre",130.3
"2","B","Post",99.1
"2","C","Pre",119.6
"2","C","Post",134.3
"3","A","Pre",79.2
"3","A","Post",95.8
"3","B","Pre",98
"3","B","Post",109.5
"3","C","Pre",95.7
"3","C","Post",60.2
"4","A","Pre",63.4
"4","A","Post",119.8
"4","B","Pre",95.4
"4","B","Post",73.3
"4","C","Pre",97.4
"4","C","Post",118.2
"5","A","Pre",128.4
"5","A","Post",93.5
"5","B","Pre",96.1
"5","B","Post",73.6
"5","C","Pre",106.9
"5","C","Post",90.4
"6","A","Pre",106.8
"6","A","Post",110.6
"6","B","Pre",115.5
"6","B","Post",90.9
"6","C","Pre",107.6
"6","C","Post",74.2
"7","A","Pre",88.2
"7","A","Post",87.2
"7","B","Pre",63.8
"7","B","Post",100.5
"7","C","Pre",103.1
"7","C","Post",94.6
"8","A","Pre",111.4
"8","A","Post",89.1
"8","B","Pre",79.5
"8","B","Post",106.5
"8","C","Pre",87.8
"8","C","Post",121.7
"9","A","Pre",93.5
"9","A","Post",109.8
"9","B","Pre",104.8
"9","B","Post",88.2
"9","C","Pre",123.6
"9","C","Post",109.6
"10","A","Pre",101.3
"10","A","Post",104.1
"10","B","Pre",110.2
"10","B","Post",101.3
"10","C","Pre",55.1
"10","C","Post",104.3
