Time,Centre position X,Centre position Y
0.000,,
3.810,1205.3,522.7
4.200,1232.0,384.0
5.190,1322.7,496.0
10.750,917.3,432.0
11.090,997.3,421.3
11.250,1034.7,394.7
12.060,1178.7,277.3
15.590,576.0,629.3
15.810,581.3,645.3
16.960,592.0,480.0
17.120,624.0,474.7
18.980,1029.3,389.3
20.320,1296.0,533.3
21.270,1242.7,784.0
21.370,1232.0,794.7
21.600,1189.3,858.7
23.500,773.3,1008.0
24.600,586.7,864.0
24.810,592.0,848.0
25.030,592.0,778.7
27.840,1040.0,261.3
28.550,1205.3,272.0
29.420,1328.0,442.7
31.640,1285.3,1050.7
34.170,933.3,992.0
34.390,922.7,933.3
35.600,922.7,560.0
35.820,922.7,501.3
35.990,906.7,464.0
36.150,933.3,405.3
36.690,933.3,282.7
36.910,922.7,224.0
37.960,906.7,58.7
38.620,858.7,186.7
39.740,976.0,490.7
40.130,1045.3,528.0
40.910,1200.0,442.7
41.900,1082.7,240.0
42.500,1002.7,90.7
42.870,960.0,64.0
43.040,949.3,74.7
44.150,912.0,330.7
44.370,896.0,405.3
47.840,928.0,458.7
48.230,810.7,448.0
49.320,533.3,512.0
50.850,560.0,576.0
52.760,1002.7,245.3
52.870,1002.7,245.3
53.860,1242.7,309.3
54.020,1269.3,346.7
54.130,1285.3,357.3
57.410,1034.7,1082.7
57.520,1018.7,1082.7
57.900,933.3,1034.7
