Time,X,Y
0.68,98.13,6.93
0.78,97.6,7.470000000000001
0.9,97.07000000000001,7.470000000000001
1.01,96.53,6.93
1.13,97.07000000000001,7.470000000000001
1.24,98.13,8.0
1.35,99.72999999999999,8.53
1.46,99.72999999999999,8.53
1.56,95.47,10.129999999999999
1.67,95.47,11.2
1.78,96.0,11.2
1.89,96.53,11.73
1.99,97.07000000000001,11.73
2.1,98.13,12.8
2.21,98.67,13.87
2.32,99.2,15.469999999999999
2.43,99.2,16.53
2.54,99.2,17.07
2.65,98.67,17.6
2.76,97.07000000000001,18.130000000000003
2.87,96.0,17.07
2.98,94.92999999999999,16.53
3.09,93.87,14.930000000000001
3.2,93.33,13.330000000000002
3.32,92.8,11.2
3.43,92.8,8.0
3.54,92.8,5.87
3.65,92.8,5.33
3.76,93.33,4.2700000000000005
3.87,93.33,4.2700000000000005
3.98,93.87,4.2700000000000005
4.09,94.4,4.8
4.21,94.4,4.8
4.32,94.92999999999999,5.33
4.42,95.47,6.4
4.53,95.47,6.93
4.64,95.47,8.53
4.75,94.4,10.129999999999999
4.86,93.87,11.2
4.97,91.72999999999999,13.330000000000002
5.08,90.13,15.469999999999999
5.19,89.07000000000001,16.53
5.3,86.4,19.2
5.41,85.33,20.27
5.52,83.72999999999999,22.4
5.63,81.6,25.07
5.74,81.07000000000001,25.6
5.85,79.47,27.2
5.96,78.92999999999999,28.27
6.07,78.4,28.8
6.18,77.33,29.330000000000002
6.28,76.8,29.330000000000002
6.39,76.27000000000001,28.8
6.5,75.72999999999999,27.73
6.62,74.67,25.6
6.73,74.67,24.53
6.83,74.13,21.330000000000002
6.94,74.13,20.27
7.05,73.6,17.6
7.16,73.6,15.469999999999999
7.27,74.13,14.930000000000001
7.37,74.67,13.87
7.48,76.27000000000001,13.330000000000002
7.59,76.8,13.87
7.7,78.4,14.930000000000001
7.81,78.92999999999999,15.469999999999999
7.92,81.07000000000001,16.53
8.04,83.72999999999999,18.130000000000003
8.15,84.8,18.669999999999998
8.25,87.47,20.27
8.37,89.6,21.869999999999997
8.47,91.2,22.4
8.58,92.8,23.47
8.69,93.87,25.07
8.81,94.4,25.6
8.91,94.92999999999999,27.2
9.02,94.92999999999999,28.27
9.14,94.4,28.8
9.24,93.33,29.869999999999997
9.35,91.72999999999999,30.93
9.47,90.67,30.93
9.57,89.6,30.4
9.68,88.53,29.869999999999997
9.79,88.0,28.27
9.9,87.47,26.130000000000003
10.01,86.92999999999999,25.07
10.12,86.92999999999999,22.4
10.23,87.47,20.8
10.35,88.53,19.73
10.46,89.07000000000001,19.73
10.57,90.13,19.2
10.68,91.2,20.27
10.79,91.72999999999999,20.8
10.9,92.8,22.4
11.01,93.87,24.0
11.12,94.92999999999999,26.130000000000003
11.23,96.53,28.27
11.34,97.07000000000001,29.330000000000002
11.44,98.67,30.93
11.55,98.67,32.0
11.66,99.72999999999999,33.07
11.78,99.72999999999999,34.13
11.89,99.72999999999999,34.67
12.0,100.27000000000001,34.67
12.11,99.2,35.2
12.21,99.2,35.2
12.33,98.13,34.13
12.44,97.07000000000001,32.53
12.55,96.0,30.4
12.66,95.47,29.330000000000002
12.77,93.87,26.669999999999998
12.89,92.8,24.0
13.0,91.72999999999999,22.4
13.12,90.67,19.73
13.23,89.6,17.07
13.34,89.07000000000001,16.53
13.45,89.07000000000001,14.930000000000001
13.56,89.6,13.87
13.67,89.6,13.330000000000002
13.78,91.2,13.330000000000002
13.89,92.8,13.87
14.0,93.33,14.4
14.11,94.92999999999999,16.0
14.22,97.07000000000001,18.130000000000003
14.33,97.6,18.669999999999998
14.44,99.72999999999999,20.8
14.54,101.33,21.869999999999997
14.65,103.47,23.47
14.76,106.13,25.6
14.87,107.2,26.130000000000003
14.98,109.87,27.73
15.09,112.53,28.8
15.21,114.13,29.330000000000002
15.32,116.27000000000001,30.4
15.42,117.87,30.4
15.53,118.92999999999999,30.93
15.64,120.53,30.93
15.75,121.6,30.4
15.87,122.13,29.869999999999997
15.98,122.67,28.8
16.09,123.2,27.2
16.2,123.2,26.669999999999998
16.31,122.13,25.07
16.42,120.53,22.93
16.53,119.47,21.869999999999997
16.64,117.87,19.73
16.75,117.33,18.669999999999998
16.86,115.72999999999999,16.53
16.97,115.2,14.930000000000001
17.08,115.2,14.4
17.19,115.2,12.8
17.29,115.72999999999999,12.27
17.4,116.27000000000001,12.27
17.51,117.87,12.27
17.61,118.92999999999999,12.27
17.72,120.53,12.8
17.83,122.67,13.330000000000002
17.94,123.2,13.87
18.05,124.27000000000001,14.4
18.16,125.87,16.0
18.26,126.4,16.53
18.37,126.4,17.6
18.48,125.87,18.669999999999998
18.6,125.33,20.27
18.7,123.72999999999999,22.93
18.81,122.13,23.47
18.91,119.47,24.53
19.02,117.87,25.07
19.13,114.13,25.6
19.25,110.92999999999999,26.130000000000003
19.36,107.2,26.130000000000003
19.47,105.07000000000001,26.130000000000003
19.58,101.87,25.6
19.69,99.2,24.53
19.8,98.13,23.47
19.91,97.07000000000001,21.869999999999997
20.02,96.53,20.8
20.12,97.07000000000001,19.73
20.23,98.13,18.669999999999998
20.35,98.67,18.130000000000003
20.46,100.8,17.6
20.57,103.47,17.07
20.68,104.53,17.07
20.79,107.2,17.6
20.9,110.4,18.669999999999998
21.0,111.47,19.2
21.12,114.13,20.8
21.23,116.27000000000001,22.93
21.33,117.33,24.0
21.44,119.47,26.669999999999998
21.55,120.53,27.73
21.66,122.13,30.4
21.78,123.72999999999999,32.0
21.89,124.8,32.53
22.0,126.4,33.07
22.1,128.53,33.6
22.21,129.07,33.07
22.32,131.2,32.53
22.44,133.32999999999998,31.47
22.55,134.4,31.47
22.66,136.53,30.4
22.76,138.13,29.869999999999997
22.87,138.13,29.869999999999997
22.98,138.13,30.4
23.09,137.6,30.4
23.2,137.6,30.93
23.31,137.07,30.4
23.42,136.53,29.869999999999997
23.53,134.93,28.8
23.64,132.8,27.2
