Time,X,Y
0.1,46.4,73.07000000000001
0.21,46.4,75.2
0.32,46.4,76.27000000000001
0.44,45.33,77.33
0.55,44.269999999999996,77.33
0.66,43.730000000000004,77.33
0.77,43.730000000000004,75.72999999999999
0.88,43.730000000000004,74.13
0.99,44.269999999999996,73.07000000000001
1.09,45.87,70.92999999999999
1.2,46.93,70.4
1.31,49.07,68.8
1.41,50.67,67.72999999999999
1.53,51.73,67.2
1.64,54.4,66.13
1.74,56.529999999999994,64.53
1.85,57.6,64.0
1.97,59.73,62.92999999999999
2.08,61.33,61.870000000000005
2.19,62.4,61.870000000000005
2.29,64.0,61.33
2.4,64.53,61.33
2.52,66.67,62.4
2.63,68.27000000000001,64.0
2.73,69.33,65.07000000000001
2.84,70.92999999999999,67.2
2.95,72.53,69.33
3.07,73.6,70.4
3.18,75.2,73.07000000000001
3.28,77.33,76.27000000000001
3.39,78.4,77.33
3.5,80.0,80.0
3.61,82.67,83.2
3.73,83.72999999999999,84.8
3.84,86.4,87.47
3.94,87.47,89.07000000000001
4.06,89.6,91.2
4.17,90.67,94.4
4.28,90.67,95.47
4.38,90.67,98.67
4.49,89.07000000000001,100.8
4.59,88.0,101.33
4.71,85.87,102.4
4.82,83.72999999999999,102.4
4.93,82.67,102.4
5.03,81.6,100.8
5.14,80.53,99.72999999999999
5.25,79.47,97.07000000000001
5.35,78.4,94.92999999999999
5.47,77.87,93.87
5.58,77.33,91.2
5.68,77.87,88.0
5.79,78.4,86.4
5.9,78.92999999999999,83.72999999999999
6.01,79.47,82.13
6.12,80.53,78.92999999999999
6.23,81.6,76.27000000000001
6.34,82.67,74.67
6.46,83.72999999999999,71.47
6.57,85.33,69.33
6.68,86.4,67.72999999999999
6.79,89.07000000000001,65.6
6.9,91.72999999999999,63.470000000000006
7.01,93.33,62.92999999999999
7.12,96.0,61.33
7.23,98.67,59.2
7.34,101.33,57.6
7.45,102.92999999999999,56.529999999999994
7.56,105.6,54.92999999999999
7.66,106.67,54.4
7.78,109.33,53.33
7.89,111.47,52.8
8.01,113.07000000000001,52.8
8.11,115.2,53.33
8.23,117.33,54.4
8.34,118.4,54.92999999999999
8.44,120.53,56.0
8.55,122.67,57.6
8.66,123.72999999999999,58.129999999999995
8.78,125.33,59.2
8.88,127.47,59.73
8.99,128.53,59.73
9.1,130.13,59.2
9.22,131.73,58.67
9.33,132.8,58.129999999999995
9.43,133.87,56.529999999999994
9.54,134.4,56.0
9.65,135.47,54.4
9.76,137.07,52.27
9.87,137.6,51.73
9.99,138.67000000000002,51.2
10.1,139.73,50.67
10.2,140.27,50.67
10.31,140.8,51.73
10.42,141.32999999999998,53.33
10.53,141.32999999999998,54.4
10.64,141.32999999999998,57.07000000000001
10.75,140.27,59.73
10.85,139.73,60.8
10.96,138.13,64.0
11.07,137.6,65.07000000000001
11.18,135.47,68.27000000000001
11.29,133.87,70.92999999999999
11.4,132.8,72.53
11.51,131.2,75.2
