Time,X,Y
0.72,92.8,116.27000000000001
0.83,92.27000000000001,117.87
0.94,93.33,117.87
1.16,98.13,117.33
1.39,98.13,116.8
1.93,93.87,110.92999999999999
2.04,90.67,109.33
2.15,89.07000000000001,108.27000000000001
2.26,85.33,105.6
2.37,82.13,102.92999999999999
2.48,80.53,101.33
2.58,78.4,98.13
2.69,77.33,94.92999999999999
2.8,77.87,93.33
2.92,79.47,90.13
3.02,81.07000000000001,89.07000000000001
3.13,83.72999999999999,86.4
3.24,86.92999999999999,83.72999999999999
3.35,88.53,82.67
3.47,91.72999999999999,82.13
3.58,94.4,82.13
3.69,95.47,82.67
3.8,97.6,85.33
3.92,98.13,88.53
4.02,98.13,90.13
4.14,97.6,93.33
4.25,96.0,97.07000000000001
4.36,94.4,100.27000000000001
4.47,93.87,101.87
4.58,91.72999999999999,105.07000000000001
4.69,88.53,107.72999999999999
4.8,87.47,109.33
4.91,83.72999999999999,110.92999999999999
5.01,82.13,110.92999999999999
5.12,78.4,110.92999999999999
5.24,75.2,109.33
5.35,73.6,108.8
5.46,70.92999999999999,106.67
5.57,69.33,105.6
5.68,66.67,103.47
5.78,64.0,100.27000000000001
5.9,61.870000000000005,97.07000000000001
6.01,61.33,95.47
6.12,59.2,92.27000000000001
6.22,58.67,90.67
6.34,57.6,87.47
6.44,57.6,84.27000000000001
6.56,57.6,82.13
6.66,58.129999999999995,79.47
6.77,58.67,77.87
6.88,59.73,74.67
6.99,61.33,71.47
7.11,62.92999999999999,68.27000000000001
7.21,64.0,66.67
7.33,65.6,62.92999999999999
7.44,66.67,59.2
7.55,67.72999999999999,57.07000000000001
7.66,68.8,53.33
7.77,70.4,49.6
7.88,70.92999999999999,48.0
7.99,72.53,44.269999999999996
8.09,73.07000000000001,42.13
8.2,74.67,38.4
8.31,76.8,35.2
8.42,77.33,33.6
8.53,78.92999999999999,31.47
8.64,81.6,29.869999999999997
8.75,83.2,29.330000000000002
8.86,86.4,28.8
8.96,89.6,29.330000000000002
9.07,90.67,29.869999999999997
9.18,93.33,31.47
9.29,94.4,32.53
9.4,96.53,34.67
9.51,98.67,37.33
9.61,99.72999999999999,38.93
9.72,101.87,41.6
9.82,103.47,43.2
9.93,105.6,46.4
10.05,108.27000000000001,49.07
10.16,109.33,50.67
10.26,112.0,53.870000000000005
10.37,113.07000000000001,55.470000000000006
10.48,115.2,58.129999999999995
10.59,117.33,61.33
10.7,117.87,62.92999999999999
10.81,118.92999999999999,66.13
10.92,120.0,69.33
11.03,120.0,73.07000000000001
11.14,120.53,74.13
11.25,120.53,77.87
11.36,120.0,79.47
11.48,120.0,83.2
11.59,120.0,86.92999999999999
11.69,120.53,89.07000000000001
11.8,121.07000000000001,92.8
11.91,121.07000000000001,96.53
12.03,121.6,98.13
12.13,122.13,101.33
12.24,122.13,102.4
12.35,122.67,105.6
12.46,123.2,107.72999999999999
12.57,123.2,110.4
12.68,122.67,111.47
12.79,121.07000000000001,113.07000000000001
12.9,118.92999999999999,114.67
13.01,117.87,115.2
13.11,115.2,116.27000000000001
13.22,113.6,116.8
13.34,110.92999999999999,117.33
13.45,107.72999999999999,117.87
13.56,105.6,118.4
13.67,102.4,118.92999999999999
13.78,98.67,119.47
13.89,97.07000000000001,120.0
14.0,93.33,120.0
14.11,90.13,120.0
14.22,88.53,120.0
14.33,84.8,117.87
14.44,82.13,115.72999999999999
14.55,81.07000000000001,114.67
14.66,78.4,112.0
14.76,77.33,110.92999999999999
14.87,75.2,107.72999999999999
14.98,73.6,104.53
15.09,73.07000000000001,102.92999999999999
15.21,71.47,99.72999999999999
15.31,69.87,96.53
15.42,69.33,94.4
15.53,68.27000000000001,91.2
15.63,67.72999999999999,89.07000000000001
15.74,66.67,85.87
15.85,65.07000000000001,82.13
15.95,64.53,80.53
16.07,62.92999999999999,77.33
16.18,61.33,73.6
16.29,60.8,72.0
16.4,59.2,68.27000000000001
16.51,57.6,65.07000000000001
16.62,57.07000000000001,62.92999999999999
16.72,56.0,59.73
16.83,55.470000000000006,58.129999999999995
16.94,54.4,55.470000000000006
17.04,53.33,53.33
17.15,52.27,52.27
17.27,50.13,51.73
17.38,49.07,51.2
17.49,48.0,51.2
17.6,46.4,52.8
17.71,44.8,54.4
17.82,44.8,56.0
17.93,44.269999999999996,58.67
18.04,44.269999999999996,61.870000000000005
18.15,44.269999999999996,63.470000000000006
18.27,44.8,65.6
18.37,46.4,67.72999999999999
18.48,47.47,68.8
18.59,49.6,70.92999999999999
18.7,51.2,71.47
18.82,53.870000000000005,72.53
18.93,57.6,73.6
19.03,59.2,73.6
19.15,62.4,74.13
19.25,66.13,74.13
19.36,67.72999999999999,74.13
19.48,71.47,73.6
19.59,74.67,73.07000000000001
19.7,77.87,72.0
19.81,79.47,70.92999999999999
19.92,82.67,68.8
20.03,84.27000000000001,67.72999999999999
20.14,86.4,65.07000000000001
20.25,89.07000000000001,61.870000000000005
20.37,90.13,60.27
20.48,92.27000000000001,57.07000000000001
20.58,93.33,54.4
20.69,93.87,53.33
20.8,94.4,49.6
20.91,94.4,48.0
21.01,93.87,44.8
21.12,92.8,42.13
21.23,91.72999999999999,41.07
21.34,89.07000000000001,38.93
21.45,86.4,36.8
21.56,85.33,35.730000000000004
21.67,82.13,34.13
21.78,78.92999999999999,32.53
21.89,77.33,32.0
22.0,74.67,30.93
22.11,73.6,30.93
22.21,71.47,31.47
22.32,69.87,32.53
22.43,69.33,33.6
22.54,68.27000000000001,36.269999999999996
22.66,67.2,39.47
22.77,67.2,41.07
22.88,67.2,44.269999999999996
22.98,66.67,48.0
23.1,66.67,49.6
23.21,66.67,53.33
23.32,66.67,57.07000000000001
23.43,66.67,59.2
23.54,67.2,62.92999999999999
23.64,67.72999999999999,67.2
23.76,68.27000000000001,68.8
23.87,69.87,72.0
23.98,72.0,75.2
24.09,73.07000000000001,76.8
24.2,74.67,80.0
24.31,76.8,83.2
24.42,77.87,84.8
24.53,80.53,87.47
24.64,82.67,91.2
24.76,83.72999999999999,92.8
24.87,85.87,96.0
24.99,87.47,99.2
25.1,88.53,100.8
25.21,90.13,103.47
25.32,91.72999999999999,105.6
25.43,92.8,106.67
25.54,95.47,107.2
