Time,X,Y
0.6,43.730000000000004,96.53
1.27,103.47,118.92999999999999
1.38,102.92999999999999,117.87
1.49,100.8,116.27000000000001
1.59,99.72999999999999,114.67
1.7,99.2,111.47
1.81,99.2,109.33
1.92,100.27000000000001,106.13
2.03,103.47,104.0
2.13,104.53,102.92999999999999
2.24,108.27000000000001,102.4
2.35,109.87,102.4
2.46,113.07000000000001,102.92999999999999
2.57,115.2,104.0
2.68,116.8,106.13
2.79,117.87,108.8
2.9,118.4,111.47
3.01,118.4,112.0
3.12,118.92999999999999,113.6
3.23,118.92999999999999,113.6
3.34,118.4,113.07000000000001
3.45,117.87,112.53
3.56,116.27000000000001,112.0
3.67,114.67,111.47
3.78,112.53,109.87
3.89,110.92999999999999,108.8
4.01,108.8,106.13
4.12,106.67,102.92999999999999
4.23,105.6,101.87
4.34,104.0,98.13
4.45,102.92999999999999,94.4
4.56,102.92999999999999,92.8
4.66,103.47,88.53
4.77,104.53,85.33
4.87,105.07000000000001,83.72999999999999
4.99,107.2,80.53
5.1,110.4,77.87
5.21,112.0,76.8
5.33,114.67,74.67
5.44,117.87,73.07000000000001
5.55,119.47,72.0
5.66,123.2,70.4
5.77,126.4,68.8
5.88,127.47,68.8
5.99,130.13,68.8
6.1,131.2,69.33
6.21,133.87,70.92999999999999
6.32,135.47,72.53
6.42,136.0,73.6
6.53,136.53,76.27000000000001
6.64,136.53,78.92999999999999
6.75,136.0,80.0
6.86,134.4,82.67
6.97,133.32999999999998,83.72999999999999
7.07,131.2,85.87
7.18,128.53,88.0
7.29,127.47,89.07000000000001
7.4,124.8,90.67
7.51,121.6,92.27000000000001
7.61,120.0,93.33
7.73,117.33,94.4
7.84,113.6,95.47
7.95,112.0,96.0
8.06,108.8,97.07000000000001
8.17,106.67,97.07000000000001
8.28,103.47,98.13
8.39,99.2,99.2
8.5,97.6,99.2
8.61,93.87,99.2
8.71,90.13,98.67
8.82,88.53,98.13
8.93,84.8,97.6
9.04,82.13,96.53
9.15,81.07000000000001,96.0
9.27,78.92999999999999,94.4
9.37,77.87,91.72999999999999
9.48,77.33,90.67
9.6,76.8,88.53
9.7,76.27000000000001,87.47
9.81,75.72999999999999,84.8
9.92,75.72999999999999,82.67
10.02,75.72999999999999,81.6
10.13,75.72999999999999,80.0
10.25,76.27000000000001,78.92999999999999
10.36,77.33,77.87
10.47,77.87,77.87
10.58,78.92999999999999,77.33
10.7,80.0,77.87
10.81,81.07000000000001,77.87
10.92,82.13,78.4
11.03,82.67,78.92999999999999
11.13,84.27000000000001,80.0
11.24,84.8,80.53
11.35,85.87,81.6
11.46,86.4,83.72999999999999
11.57,86.92999999999999,85.87
11.68,86.92999999999999,86.92999999999999
11.78,86.92999999999999,89.6
11.89,86.4,90.67
12.0,85.33,93.33
12.11,84.27000000000001,96.0
12.22,83.72999999999999,97.07000000000001
12.33,82.13,99.72999999999999
12.44,81.07000000000001,101.87
12.56,80.0,103.47
12.66,78.92999999999999,105.07000000000001
12.77,77.87,105.6
12.88,76.27000000000001,106.67
12.99,74.67,106.67
13.1,72.53,105.6
13.2,72.0,105.07000000000001
13.31,69.87,103.47
13.42,68.8,102.92999999999999
13.52,67.2,100.8
13.63,66.13,100.27000000000001
13.74,65.6,98.67
13.85,65.07000000000001,97.07000000000001
13.96,65.07000000000001,96.53
14.07,65.6,94.92999999999999
14.19,66.67,93.87
14.3,67.72999999999999,92.8
14.4,69.33,91.72999999999999
14.52,70.92999999999999,90.67
14.64,72.53,89.6
14.75,73.6,89.6
14.86,76.27000000000001,89.07000000000001
14.97,76.8,89.07000000000001
15.07,79.47,89.07000000000001
15.18,80.53,89.07000000000001
15.29,83.2,89.07000000000001
15.4,85.87,89.07000000000001
15.51,88.53,89.07000000000001
15.62,90.13,89.07000000000001
15.74,92.8,89.6
15.85,94.92999999999999,90.13
15.96,95.47,90.13
16.08,97.6,91.72999999999999
16.19,99.2,93.33
16.3,99.72999999999999,94.4
16.41,101.33,96.53
16.53,102.4,98.67
16.63,102.92999999999999,99.72999999999999
16.74,102.92999999999999,101.33
16.85,102.92999999999999,103.47
16.96,102.4,104.0
17.07,101.87,105.07000000000001
17.17,100.8,105.6
17.29,99.2,106.13
17.4,97.07000000000001,106.67
17.5,96.0,106.67
17.61,93.33,106.67
17.72,90.67,106.13
17.82,89.07000000000001,105.6
17.93,86.4,104.53
18.04,84.8,104.0
18.15,82.67,103.47
18.25,80.0,102.92999999999999
18.36,78.92999999999999,102.4
18.48,76.8,102.4
18.59,75.2,103.47
18.69,74.67,103.47
18.8,72.53,104.0
