Time,Centre position X,Centre position Y,In SE cuadrante,In SWcuadrante,In NW Cuadrante,In NE cuadrante,In Zona SE,In Zona SW,In Zona NE,In Zona NW,In Annulus NE,In Annulus NW,In Annulus SE,In Annulus SW,In Annulus centro
0.000,,,0,0,1,0,0,0,0,1,0,0,0,0,0
0.690,816.0,501.3,0,0,1,0,0,0,0,1,0,0,0,0,0
0.800,805.3,496.0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.910,810.7,490.7,0,0,1,0,0,0,0,1,0,0,0,0,0
1.020,805.3,490.7,0,0,1,0,0,0,0,1,0,0,0,0,0
1.130,800.0,490.7,0,0,1,0,0,0,0,1,0,0,0,0,0
1.240,805.3,490.7,0,0,1,0,0,0,0,1,0,0,0,0,0
1.350,805.3,490.7,0,0,1,0,0,0,0,1,0,0,0,0,0
1.460,800.0,485.3,0,0,1,0,0,0,0,1,0,0,0,0,0
1.570,805.3,485.3,0,0,1,0,0,0,0,1,0,0,0,0,0
1.690,805.3,490.7,0,0,1,0,0,0,0,1,0,0,0,0,0
1.800,816.0,496.0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.910,821.3,506.7,0,0,1,0,0,0,0,1,0,0,0,0,0
2.020,837.3,512.0,0,0,1,0,0,0,0,1,0,0,0,0,0
2.130,842.7,517.3,0,0,1,0,0,0,0,0,0,0,0,0,0
2.240,848.0,522.7,0,0,1,0,0,0,0,0,0,0,0,0,0
2.340,864.0,544.0,0,0,1,0,0,0,0,0,0,0,0,0,0
2.460,874.7,554.7,0,0,1,0,0,0,0,0,0,0,0,0,0
2.570,890.7,565.3,0,0,1,0,0,0,0,0,0,0,0,0,0
2.680,890.7,544.0,0,0,1,0,0,0,0,0,0,0,0,0,0
2.780,885.3,528.0,0,0,1,0,0,0,0,0,0,0,0,0,0
2.890,890.7,560.0,0,0,1,0,0,0,0,0,0,0,0,0,0
3.000,944.0,544.0,0,0,0,1,0,0,0,0,0,0,0,0,0
3.110,1008.0,490.7,0,0,0,1,0,0,1,0,0,0,0,0,0
