Time,X,Y
0.21,74.13,108.27000000000001
0.32,73.07000000000001,108.27000000000001
0.44,72.53,109.87
0.56,73.6,109.87
0.67,75.2,109.33
0.8,76.8,107.72999999999999
0.91,77.87,105.07000000000001
1.02,78.4,102.92999999999999
1.13,78.92999999999999,100.8
1.23,79.47,97.6
1.35,79.47,94.92999999999999
1.46,78.92999999999999,92.8
1.58,78.4,91.2
1.7,77.33,90.13
1.81,76.8,90.13
1.93,76.8,90.13
2.05,77.33,91.72999999999999
2.17,78.4,92.27000000000001
2.28,80.53,92.8
2.39,83.2,92.8
2.51,86.4,92.8
2.63,88.53,92.27000000000001
2.75,90.67,90.67
2.85,91.2,89.07000000000001
2.96,92.27000000000001,86.92999999999999
3.07,92.27000000000001,84.27000000000001
3.2,92.8,81.6
3.32,92.27000000000001,77.87
3.43,91.72999999999999,75.72999999999999
3.55,91.2,72.0
3.67,90.67,68.8
3.78,89.6,65.6
3.89,89.07000000000001,62.92999999999999
4.01,88.53,59.73
4.13,87.47,56.0
4.25,86.92999999999999,52.27
4.36,86.4,49.07
4.47,85.87,46.4
4.58,84.8,42.67
4.69,84.27000000000001,40.53
4.81,83.2,40.0
4.93,82.13,39.47
5.05,82.13,40.0
5.17,81.6,40.53
5.29,82.67,42.13
5.4,84.27000000000001,43.2
5.51,85.87,43.730000000000004
5.62,89.07000000000001,44.8
5.74,91.2,45.33
5.86,94.4,46.4
5.97,97.07000000000001,46.4
6.09,100.8,46.4
6.2,103.47,45.33
6.31,105.6,44.8
6.43,108.27000000000001,43.2
6.55,110.4,41.07
6.66,111.47,38.93
6.79,112.53,36.269999999999996
6.9,113.07000000000001,34.13
7.02,113.6,31.47
7.13,113.6,29.869999999999997
7.25,113.07000000000001,28.8
7.37,112.0,27.2
7.49,110.92999999999999,27.2
7.6,109.33,26.669999999999998
7.7,109.33,26.669999999999998
7.82,108.8,27.73
7.93,109.33,28.8
8.04,110.4,29.330000000000002
8.15,112.0,30.4
8.27,113.6,30.93
8.39,116.27000000000001,31.47
8.5,118.4,31.47
8.61,120.53,30.93
8.73,123.2,30.4
8.86,125.33,29.330000000000002
8.97,126.92999999999999,28.27
9.09,128.0,27.73
9.2,128.53,26.130000000000003
9.32,128.53,25.07
9.44,128.0,24.0
9.55,126.92999999999999,24.0
9.68,124.8,23.47
9.8,122.13,23.47
9.92,120.0,23.47
10.04,116.8,24.53
10.14,114.67,25.6
10.26,111.47,27.2
10.37,109.33,28.27
10.48,107.72999999999999,29.869999999999997
10.59,105.6,32.53
10.71,105.07000000000001,34.13
10.82,104.53,35.730000000000004
10.94,105.6,37.33
11.05,107.2,38.4
11.17,109.33,38.93
11.29,111.47,39.47
11.4,114.13,39.47
11.51,116.27000000000001,38.93
11.63,118.4,38.4
11.74,121.07000000000001,36.269999999999996
11.86,122.67,35.2
11.97,123.72999999999999,33.07
12.09,124.27000000000001,30.4
12.21,124.8,28.8
12.33,123.72999999999999,27.73
12.44,122.67,26.669999999999998
12.56,121.07000000000001,26.130000000000003
12.67,118.4,25.6
12.79,116.8,25.07
12.9,114.67,24.53
13.03,113.6,25.07
13.14,113.6,26.130000000000003
13.25,113.07000000000001,26.669999999999998
13.36,114.13,28.27
13.48,115.72999999999999,28.8
13.6,117.33,29.330000000000002
13.71,120.53,30.4
13.82,122.67,30.4
13.93,124.8,30.4
14.04,128.0,29.869999999999997
14.17,130.67000000000002,28.8
14.27,132.27,27.73
14.39,132.8,27.2
14.51,133.32999999999998,26.130000000000003
14.63,132.8,26.130000000000003
