Time,X,Y
0.07,93.59,100.92
0.13,94.38,99.35
0.19,94.9,97.25
0.24,95.16,96.47
0.31,95.42,94.64
0.37,95.69,92.55
0.43,95.69,90.72
0.49,95.95,88.63
0.55,95.95,86.53999999999999
0.61,95.95,85.49
0.67,95.95,83.66
0.72,95.95,81.31
0.78,95.95,80.26
0.83,95.69,78.42999999999999
0.88,95.42,76.34
0.94,95.16,74.25
0.99,94.64,73.2
1.05,94.12,71.37
1.11,93.86,70.59
1.16,93.07000000000001,69.02000000000001
1.21,92.81,67.19
1.27,92.55,66.41
1.33,92.03,64.84
1.39,91.5,63.79
1.45,90.97999999999999,63.27
1.5,90.2,62.48
1.56,89.41,61.44
1.61,88.89,61.17999999999999
1.66,88.1,60.129999999999995
1.72,87.58,59.08
1.78,87.32000000000001,58.56
1.83,86.8,57.25
1.89,86.27000000000001,55.69
1.95,86.01,54.9
2.01,85.49,53.07000000000001
2.07,84.97,51.5
2.12,84.44,49.67
2.18,84.17999999999999,48.63
2.23,83.66,46.8
2.29,83.4,44.97
2.35,83.14,43.92
2.41,82.61,41.83
2.46,82.61,40.260000000000005
2.52,82.61,39.22
2.58,82.88,37.65
2.64,83.14,36.08
2.7,83.92,34.25
2.75,84.44,32.94
2.82,84.97,31.110000000000003
2.88,85.49,30.07
2.93,86.01,28.5
2.99,86.27000000000001,27.71
3.04,87.32000000000001,25.880000000000003
3.11,88.1,24.580000000000002
3.17,89.41,23.79
3.22,90.97999999999999,23.009999999999998
3.28,91.76,22.75
3.34,93.33,21.96
3.4,95.16,21.7
3.45,96.72999999999999,21.44
3.51,97.52000000000001,21.18
3.57,99.35,20.65
3.62,101.44,20.39
3.68,101.96000000000001,20.130000000000003
3.74,104.30999999999999,20.39
3.79,105.88,20.39
3.86,107.71,20.919999999999998
3.91,108.75999999999999,21.44
3.97,110.59,21.96
4.02,112.42,23.009999999999998
4.09,113.46,23.27
4.14,115.03,24.05
4.2,117.12,25.1
4.25,117.91,25.36
4.31,120.0,26.139999999999997
4.37,121.83,26.93
4.42,122.88,27.45
4.48,124.71,28.24
4.54,126.54,28.76
4.6,128.37,29.54
4.66,130.2,30.330000000000002
4.72,131.5,30.85
4.78,132.03,31.110000000000003
4.83,132.81,32.160000000000004
4.89,133.07,32.68
4.94,133.85999999999999,33.730000000000004
4.99,134.12,35.29
5.05,134.38,36.6
5.12,134.38,37.910000000000004
5.18,134.12,38.69
5.23,134.12,39.739999999999995
5.29,134.12,40.519999999999996
5.35,133.85999999999999,41.83
5.41,133.85999999999999,43.4
5.46,133.85999999999999,44.71
5.51,133.85999999999999,45.75
5.57,134.12,47.06
5.63,134.12,48.37
5.69,134.38,49.410000000000004
5.75,134.64000000000001,50.980000000000004
5.8,135.16,52.29
5.86,135.42000000000002,53.86
5.92,135.69,54.379999999999995
5.98,136.47,55.42
6.04,137.25,56.21
6.1,137.78,56.989999999999995
6.15,138.3,57.25
6.21,139.60999999999999,58.04
6.27,140.65,58.56
6.33,141.18,58.56
6.39,142.22,58.56
6.45,143.53,58.56
6.51,144.57999999999998,58.3
6.56,145.35999999999999,57.779999999999994
6.63,145.88,57.52
6.69,146.41,57.25
6.75,147.19,56.73
6.8,147.45,56.470000000000006
6.86,147.70999999999998,55.95
6.92,148.24,55.95
6.98,148.76,55.69
7.04,149.02,55.42
7.1,149.02,55.42
7.15,148.76,55.95
7.21,148.5,56.470000000000006
7.26,148.5,56.73
7.31,148.24,57.52
7.37,147.19,58.3
7.43,146.41,59.08
7.49,146.14000000000001,59.35
7.55,145.35999999999999,59.870000000000005
7.6,144.05,60.39
7.66,143.53,60.92
7.72,142.48,61.17999999999999
7.78,140.92000000000002,61.7
7.84,139.60999999999999,62.220000000000006
7.9,139.07999999999998,62.48
7.96,137.78,63.010000000000005
8.01,136.20999999999998,63.27
8.08,134.9,63.79
8.13,133.85999999999999,64.05
8.19,132.55,64.05
8.25,131.76,64.05
8.31,130.72,63.79
8.37,129.41,63.529999999999994
8.43,128.63,63.27
8.48,127.32000000000001,63.010000000000005
8.54,126.00999999999999,62.75
8.6,125.22999999999999,62.48
8.65,123.92,61.96
8.71,122.35,61.7
8.77,120.78,61.17999999999999
8.83,120.0,60.92
8.89,117.65,60.129999999999995
8.95,116.85999999999999,59.870000000000005
9.01,115.29,59.08
9.07,114.77000000000001,58.82000000000001
9.12,113.72999999999999,58.04
9.18,112.67999999999999,56.73
9.24,111.9,55.160000000000004
9.3,111.10999999999999,53.86
9.36,110.85,53.07000000000001
9.41,110.07000000000001,51.5
9.47,109.54,49.93
9.53,109.02000000000001,49.15
9.58,108.24000000000001,47.58
9.64,107.45,46.010000000000005
9.7,106.92999999999999,44.18
9.76,106.41,43.14
9.81,105.88,41.31
9.86,105.35999999999999,40.260000000000005
9.92,105.1,38.43
9.98,104.58,36.6
10.04,104.30999999999999,34.510000000000005
10.1,104.30999999999999,33.730000000000004
10.15,103.79,31.630000000000003
10.22,103.53,29.8
10.27,103.00999999999999,28.24
10.33,102.75,27.45
10.39,101.96000000000001,25.880000000000003
10.44,101.17999999999999,24.580000000000002
10.5,100.65,23.53
10.56,99.87,22.22
10.62,99.35,20.919999999999998
10.68,99.08,20.130000000000003
10.74,98.82000000000001,19.080000000000002
10.79,98.56,18.82
10.85,98.3,18.04
10.9,98.3,17.52
10.96,98.56,17.25
11.02,98.82000000000001,16.73
11.08,99.08,16.47
11.13,99.87,15.95
11.19,99.87,15.690000000000001
11.25,100.65,15.419999999999998
11.3,101.17999999999999,15.419999999999998
11.36,101.96000000000001,15.16
11.42,103.00999999999999,14.9
11.47,104.05,14.9
11.53,104.58,15.16
11.59,105.88,15.16
11.65,106.92999999999999,15.419999999999998
11.71,108.24000000000001,15.419999999999998
11.76,109.28,15.690000000000001
11.82,110.59,15.95
11.88,112.16,16.21
11.95,113.72999999999999,16.47
12.0,114.50999999999999,16.73
12.05,116.08,16.990000000000002
12.11,117.65,17.52
12.17,118.42999999999999,17.52
12.22,119.74000000000001,18.04
12.29,121.05,18.56
12.34,122.35,18.82
12.4,122.60999999999999,19.35
12.45,123.4,20.130000000000003
12.51,123.66,21.18
12.57,123.92,21.7
12.62,124.44000000000001,23.009999999999998
12.68,124.71,24.05
12.73,124.71,25.619999999999997
12.79,124.97,26.139999999999997
12.85,125.22999999999999,27.189999999999998
12.9,125.22999999999999,27.97
12.97,125.49000000000001,29.28
13.03,125.49000000000001,30.589999999999996
13.08,125.49000000000001,31.630000000000003
13.14,125.75,32.160000000000004
13.2,125.75,32.94
13.26,125.75,33.46
13.32,126.00999999999999,33.730000000000004
13.38,126.00999999999999,34.25
13.44,126.00999999999999,35.29
13.5,126.00999999999999,35.82
13.55,126.54,36.339999999999996
13.61,126.54,36.339999999999996
13.66,126.54,36.6
13.71,126.54,36.6
13.77,126.54,36.86
13.82,126.54,36.6
13.88,126.27000000000001,36.6
